# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:02:36 PM
# Stepper motors position: X 14,029.400 µm; Y 9,891.000 µm; Z 8,391.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8491.499, 0.000, 4.37408447265625E-09
8490.999, -0.500, 4.37225341796875E-09
8490.499, -1.000, 4.37225341796875E-09
8489.999, -1.500, 4.3682861328125E-09
8489.499, -2.000, 4.366455078125E-09
8488.999, -2.500, 4.3658447265625E-09
8488.499, -3.000, 4.36431884765625E-09
8487.999, -3.500, 4.36309814453125E-09
8487.499, -4.000, 4.36126708984375E-09
8486.999, -4.500, 4.3603515625E-09
8486.499, -5.000, 4.35791015625E-09
8485.999, -5.500, 4.356689453125E-09
8485.499, -6.000, 4.35638427734375E-09
8484.999, -6.500, 4.3560791015625E-09
8484.499, -7.000, 4.35272216796875E-09
8483.999, -7.500, 4.351806640625E-09
8483.499, -8.000, 4.35150146484375E-09
8482.999, -8.500, 4.3511962890625E-09
8482.499, -9.000, 4.34967041015625E-09
8481.999, -9.500, 4.34844970703125E-09
8481.499, -10.000, 4.3463134765625E-09
8480.999, -10.500, 4.34814453125E-09
8480.499, -11.000, 4.34814453125E-09
8479.999, -11.500, 4.3475341796875E-09
8479.499, -12.000, 4.3475341796875E-09
8478.999, -12.500, 4.34478759765625E-09
8478.499, -13.000, 4.34417724609375E-09
8477.999, -13.500, 4.34478759765625E-09
8477.499, -14.000, 4.3438720703125E-09
8476.999, -14.500, 4.34234619140625E-09
8476.499, -15.000, 4.3426513671875E-09
8475.999, -15.500, 4.34173583984375E-09
8475.499, -16.000, 4.34173583984375E-09
8474.999, -16.500, 4.3408203125E-09
8474.499, -17.000, 4.34051513671875E-09
