# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/21/2024 4:53:52 PM
# Stepper motors position: X 15,214.300 µm; Y 9,312.000 µm; Z 9,476.000 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.750
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 2000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.25
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
9576.000, 0.000, 5.5999755859375E-09
9575.750, -0.250, 5.5938720703125E-09
9575.500, -0.500, 5.596923828125E-09
9575.250, -0.750, 5.596923828125E-09
9575.000, -1.000, 5.596923828125E-09
9574.750, -1.250, 5.596923828125E-09
9574.500, -1.500, 5.5938720703125E-09
9574.250, -1.750, 5.596923828125E-09
9574.000, -2.000, 5.5938720703125E-09
9573.750, -2.250, 5.5908203125E-09
9573.500, -2.500, 5.5877685546875E-09
9573.250, -2.750, 5.5938720703125E-09
9573.000, -3.000, 5.5908203125E-09
9572.750, -3.250, 5.5908203125E-09
9572.500, -3.500, 5.5938720703125E-09
9572.250, -3.750, 5.5938720703125E-09
9572.000, -4.000, 5.5908203125E-09
9571.750, -4.250, 5.5938720703125E-09
9571.500, -4.500, 5.5938720703125E-09
9571.250, -4.750, 5.5938720703125E-09
9571.000, -5.000, 5.5938720703125E-09
9570.750, -5.250, 5.596923828125E-09
9570.500, -5.500, 5.60302734375E-09
9570.250, -5.750, 5.5999755859375E-09
9570.000, -6.000, 5.5999755859375E-09
9569.750, -6.250, 5.596923828125E-09
9569.500, -6.500, 5.596923828125E-09
9569.250, -6.750, 5.596923828125E-09
9569.000, -7.000, 5.5999755859375E-09
9568.750, -7.250, 5.5999755859375E-09
9568.500, -7.500, 5.596923828125E-09
9568.250, -7.750, 5.5938720703125E-09
9568.000, -8.000, 5.596923828125E-09
9567.750, -8.250, 5.5908203125E-09
9567.500, -8.500, 5.5877685546875E-09
9567.250, -8.750, 5.584716796875E-09
9567.000, -9.000, 5.5999755859375E-09
9566.750, -9.250, 5.5938720703125E-09
9566.500, -9.500, 5.5908203125E-09
9566.250, -9.750, 5.5908203125E-09
9566.000, -10.000, 5.5908203125E-09
9565.750, -10.250, 5.5877685546875E-09
9565.500, -10.500, 5.584716796875E-09
9565.250, -10.750, 5.5877685546875E-09
9565.000, -11.000, 5.5877685546875E-09
9564.750, -11.250, 5.5877685546875E-09
9564.500, -11.500, 5.5908203125E-09
9564.250, -11.750, 5.5908203125E-09
9564.000, -12.000, 5.5908203125E-09
9563.750, -12.250, 5.596923828125E-09
9563.500, -12.500, 5.5938720703125E-09
9563.250, -12.750, 5.5938720703125E-09
9563.000, -13.000, 5.596923828125E-09
9562.750, -13.250, 5.5908203125E-09
9562.500, -13.500, 5.584716796875E-09
9562.250, -13.750, 5.584716796875E-09
9562.000, -14.000, 5.5877685546875E-09
9561.750, -14.250, 5.584716796875E-09
9561.500, -14.500, 5.5816650390625E-09
9561.250, -14.750, 5.584716796875E-09
9561.000, -15.000, 5.584716796875E-09
9560.750, -15.250, 5.5816650390625E-09
9560.500, -15.500, 5.5816650390625E-09
9560.250, -15.750, 5.5877685546875E-09
9560.000, -16.000, 5.5877685546875E-09
9559.750, -16.250, 5.5877685546875E-09
9559.500, -16.500, 5.584716796875E-09
9559.250, -16.750, 5.5877685546875E-09
9559.000, -17.000, 5.5877685546875E-09
9558.750, -17.250, 5.5877685546875E-09
9558.500, -17.500, 5.584716796875E-09
9558.250, -17.750, 5.5816650390625E-09
9558.000, -18.000, 5.584716796875E-09
9557.750, -18.250, 5.5877685546875E-09
9557.500, -18.500, 5.57861328125E-09
9557.250, -18.750, 5.5816650390625E-09
9557.000, -19.000, 5.5877685546875E-09
9556.750, -19.250, 5.5816650390625E-09
9556.500, -19.500, 5.584716796875E-09
9556.250, -19.750, 5.584716796875E-09
9556.000, -20.000, 5.5877685546875E-09
9555.750, -20.250, 5.5877685546875E-09
9555.500, -20.500, 5.5877685546875E-09
9555.250, -20.750, 5.584716796875E-09
9555.000, -21.000, 5.5877685546875E-09
9554.750, -21.250, 5.5816650390625E-09
9554.500, -21.500, 5.5816650390625E-09
9554.250, -21.750, 5.5877685546875E-09
9554.000, -22.000, 5.5877685546875E-09
9553.750, -22.250, 5.5877685546875E-09
9553.500, -22.500, 5.584716796875E-09
9553.250, -22.750, 5.5816650390625E-09
9553.000, -23.000, 5.584716796875E-09
9552.750, -23.250, 5.584716796875E-09
9552.500, -23.500, 5.584716796875E-09
9552.250, -23.750, 5.584716796875E-09
9552.000, -24.000, 5.5908203125E-09
9551.750, -24.250, 5.5908203125E-09
9551.500, -24.500, 5.5908203125E-09
9551.250, -24.750, 5.596923828125E-09
9551.000, -25.000, 5.5999755859375E-09
9550.750, -25.250, 5.5938720703125E-09
9550.500, -25.500, 5.5908203125E-09
9550.250, -25.750, 5.596923828125E-09
9550.000, -26.000, 5.5999755859375E-09
9549.750, -26.250, 5.5877685546875E-09
9549.500, -26.500, 5.5908203125E-09
9549.250, -26.750, 5.5877685546875E-09
9549.000, -27.000, 5.5816650390625E-09
9548.750, -27.250, 5.5877685546875E-09
9548.500, -27.500, 5.5877685546875E-09
9548.250, -27.750, 5.5877685546875E-09
9548.000, -28.000, 5.584716796875E-09
9547.750, -28.250, 5.5877685546875E-09
9547.500, -28.500, 5.5938720703125E-09
9547.250, -28.750, 5.5938720703125E-09
9547.000, -29.000, 5.5908203125E-09
9546.750, -29.250, 5.5908203125E-09
9546.500, -29.500, 5.5938720703125E-09
9546.250, -29.750, 5.596923828125E-09
9546.000, -30.000, 5.5938720703125E-09
9545.750, -30.250, 5.5938720703125E-09
9545.500, -30.500, 5.596923828125E-09
9545.250, -30.750, 5.5999755859375E-09
9545.000, -31.000, 5.5999755859375E-09
9544.750, -31.250, 5.5938720703125E-09
9544.500, -31.500, 5.5938720703125E-09
9544.250, -31.750, 5.5999755859375E-09
9544.000, -32.000, 5.5999755859375E-09
9543.750, -32.250, 5.5938720703125E-09
9543.500, -32.500, 5.5938720703125E-09
9543.250, -32.750, 5.5908203125E-09
9543.000, -33.000, 5.5908203125E-09
9542.750, -33.250, 5.5877685546875E-09
9542.500, -33.500, 5.5908203125E-09
9542.250, -33.750, 5.5938720703125E-09
9542.000, -34.000, 5.5908203125E-09
9541.750, -34.250, 5.5877685546875E-09
9541.500, -34.500, 5.5908203125E-09
9541.250, -34.750, 5.5938720703125E-09
9541.000, -35.000, 5.5938720703125E-09
9540.750, -35.250, 5.5877685546875E-09
9540.500, -35.500, 5.5877685546875E-09
9540.250, -35.750, 5.5877685546875E-09
9540.000, -36.000, 5.5877685546875E-09
9539.750, -36.250, 5.584716796875E-09
9539.500, -36.500, 5.5816650390625E-09
9539.250, -36.750, 5.5816650390625E-09
9539.000, -37.000, 5.584716796875E-09
9538.750, -37.250, 5.5816650390625E-09
9538.500, -37.500, 5.57861328125E-09
9538.250, -37.750, 5.5816650390625E-09
9538.000, -38.000, 5.5877685546875E-09
9537.750, -38.250, 5.5908203125E-09
9537.500, -38.500, 5.5908203125E-09
9537.250, -38.750, 5.5877685546875E-09
9537.000, -39.000, 5.5908203125E-09
9536.750, -39.250, 5.5938720703125E-09
9536.500, -39.500, 5.584716796875E-09
9536.250, -39.750, 5.584716796875E-09
9536.000, -40.000, 5.5877685546875E-09
9535.750, -40.250, 5.5816650390625E-09
9535.500, -40.500, 5.57861328125E-09
9535.250, -40.750, 5.57861328125E-09
9535.000, -41.000, 5.584716796875E-09
9534.750, -41.250, 5.57861328125E-09
9534.500, -41.500, 5.57861328125E-09
9534.250, -41.750, 5.57861328125E-09
9534.000, -42.000, 5.57861328125E-09
9533.750, -42.250, 5.5755615234375E-09
9533.500, -42.500, 5.5908203125E-09
9533.250, -42.750, 5.5908203125E-09
9533.000, -43.000, 5.5877685546875E-09
9532.750, -43.250, 5.5938720703125E-09
9532.500, -43.500, 5.596923828125E-09
9532.250, -43.750, 5.596923828125E-09
9532.000, -44.000, 5.5938720703125E-09
9531.750, -44.250, 5.5908203125E-09
9531.500, -44.500, 5.5877685546875E-09
9531.250, -44.750, 5.5877685546875E-09
9531.000, -45.000, 5.584716796875E-09
9530.750, -45.250, 5.5816650390625E-09
9530.500, -45.500, 5.57861328125E-09
9530.250, -45.750, 5.5755615234375E-09
9530.000, -46.000, 5.5755615234375E-09
9529.750, -46.250, 5.5816650390625E-09
9529.500, -46.500, 5.5816650390625E-09
