July 24, 2026   15:46:07
Probe Approach Curve
File: 20260724_pac_negative_insulating part_2
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

-49.100, 3.528e-9
-48.100, 3.512e-9
-47.100, 3.506e-9
-46.100, 3.498e-9
-45.100, 3.489e-9
-44.100, 3.484e-9
-43.100, 3.474e-9
-42.100, 3.469e-9
-41.100, 3.462e-9
-40.100, 3.454e-9
-39.100, 3.450e-9
-38.100, 3.442e-9
-37.100, 3.438e-9
-36.100, 3.433e-9
-35.100, 3.425e-9
-34.100, 3.422e-9
-33.100, 3.415e-9
-32.100, 3.410e-9
-31.100, 3.407e-9
-30.100, 3.399e-9
-29.100, 3.397e-9
-28.100, 3.391e-9
-27.100, 3.386e-9
-26.100, 3.383e-9
-25.100, 3.376e-9
-24.100, 3.374e-9
-23.100, 3.369e-9
-22.100, 3.364e-9
-21.100, 3.363e-9
-20.100, 3.357e-9
-19.100, 3.355e-9
-18.100, 3.351e-9
-17.100, 3.346e-9
-16.100, 3.345e-9
-15.100, 3.339e-9
-14.100, 3.337e-9
-13.100, 3.334e-9
-12.100, 3.329e-9
-11.100, 3.329e-9
-10.100, 3.323e-9
-9.100, 3.322e-9
-8.100, 3.320e-9
-7.100, 3.314e-9
-6.100, 3.314e-9
-5.100, 3.308e-9
-4.100, 3.306e-9
-3.100, 3.305e-9
-2.100, 3.300e-9
-1.100, 3.299e-9
-0.100, 3.296e-9
0.900, 3.292e-9
1.900, 3.291e-9
2.900, 3.286e-9
3.900, 3.285e-9
4.900, 3.283e-9
5.900, 3.279e-9
6.900, 3.278e-9
7.900, 3.273e-9
8.900, 3.273e-9
9.900, 3.271e-9
10.900, 3.267e-9
11.900, 3.267e-9
12.900, 3.263e-9
13.900, 3.262e-9
14.900, 3.260e-9
15.900, 3.256e-9
16.900, 3.256e-9
17.900, 3.252e-9
18.900, 3.250e-9
19.900, 3.249e-9
20.900, 3.245e-9
21.900, 3.246e-9
22.900, 3.242e-9
23.900, 3.240e-9
24.900, 3.239e-9
25.900, 3.235e-9
26.900, 3.236e-9
27.900, 3.232e-9
28.900, 3.230e-9
29.900, 3.230e-9
30.900, 3.226e-9
31.900, 3.226e-9
32.900, 3.222e-9
33.900, 3.221e-9
34.900, 3.221e-9
35.900, 3.216e-9
36.900, 3.217e-9
37.900, 3.214e-9
38.900, 3.211e-9
39.900, 3.212e-9
40.900, 3.207e-9
41.900, 3.207e-9
42.900, 3.205e-9
43.900, 3.202e-9
44.900, 3.204e-9
45.900, 3.200e-9
46.900, 3.199e-9
47.900, 3.198e-9
48.900, 3.194e-9
49.900, 3.195e-9
50.900, 3.191e-9
51.900, 3.189e-9
52.900, 3.189e-9
53.900, 3.185e-9
54.900, 3.184e-9
55.900, 3.184e-9
56.900, 3.180e-9
57.900, 3.181e-9
58.900, 3.177e-9
59.900, 3.176e-9
60.900, 3.176e-9
61.900, 3.172e-9
62.900, 3.173e-9
63.900, 3.169e-9
64.900, 3.168e-9
65.900, 3.168e-9
66.900, 3.164e-9
67.900, 3.165e-9
68.900, 3.162e-9
69.900, 3.160e-9
70.900, 3.160e-9
71.900, 3.156e-9
72.900, 3.158e-9
73.900, 3.155e-9
74.900, 3.153e-9
75.900, 3.153e-9
76.900, 3.149e-9
77.900, 3.150e-9
78.900, 3.148e-9
79.900, 3.146e-9
80.900, 3.147e-9
81.900, 3.143e-9
82.900, 3.144e-9
83.900, 3.143e-9
84.900, 3.140e-9
85.900, 3.141e-9
86.900, 3.137e-9
87.900, 3.136e-9
88.900, 3.137e-9
89.900, 3.133e-9
90.900, 3.134e-9
91.900, 3.131e-9
92.900, 3.130e-9
93.900, 3.130e-9
94.900, 3.126e-9
95.900, 3.127e-9
96.900, 3.126e-9
97.900, 3.123e-9
98.900, 3.125e-9
99.900, 3.121e-9
100.900, 3.122e-9
101.900, 3.119e-9
102.900, 3.118e-9
103.900, 3.118e-9
104.900, 3.118e-9
105.900, 3.115e-9
106.900, 3.117e-9
107.900, 3.113e-9
108.900, 3.113e-9
109.900, 3.113e-9
110.900, 3.110e-9
