July 24, 2026   15:51:50
Probe Scan Curve
File: 20260724_pac_positive_pt side_3
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Auto Sens
X Distance (um) = 2e+3
Incr. Dist. (um) = 0.5
Incr. Time (s) = 0.1
Scan Direction = Z
Quiet Time (sec) = 2

Distance/um, Current/A

0.500, 3.668e-9
1.000, 3.645e-9
1.500, 3.624e-9
2.000, 3.605e-9
2.500, 3.587e-9
3.000, 3.571e-9
3.500, 3.555e-9
4.000, 3.540e-9
4.500, 3.527e-9
5.000, 3.514e-9
5.500, 3.502e-9
6.000, 3.491e-9
6.500, 3.479e-9
7.000, 3.469e-9
7.500, 3.460e-9
8.000, 3.451e-9
8.500, 3.441e-9
9.000, 3.433e-9
9.500, 3.425e-9
10.000, 3.417e-9
10.500, 3.410e-9
11.000, 3.403e-9
11.500, 3.396e-9
12.000, 3.390e-9
12.500, 3.384e-9
13.000, 3.377e-9
13.500, 3.372e-9
14.000, 3.366e-9
14.500, 3.360e-9
15.000, 3.355e-9
15.500, 3.350e-9
16.000, 3.345e-9
16.500, 3.340e-9
17.000, 3.336e-9
17.500, 3.331e-9
18.000, 3.327e-9
18.500, 3.323e-9
19.000, 3.319e-9
19.500, 3.315e-9
20.000, 3.311e-9
20.500, 3.307e-9
21.000, 3.303e-9
21.500, 3.300e-9
22.000, 3.297e-9
22.500, 3.293e-9
23.000, 3.290e-9
23.500, 3.287e-9
24.000, 3.283e-9
24.500, 3.280e-9
25.000, 3.277e-9
25.500, 3.274e-9
26.000, 3.271e-9
26.500, 3.268e-9
27.000, 3.266e-9
27.500, 3.263e-9
28.000, 3.260e-9
28.500, 3.257e-9
29.000, 3.254e-9
29.500, 3.252e-9
30.000, 3.249e-9
30.500, 3.247e-9
31.000, 3.245e-9
31.500, 3.242e-9
32.000, 3.240e-9
32.500, 3.237e-9
33.000, 3.235e-9
33.500, 3.233e-9
34.000, 3.231e-9
34.500, 3.228e-9
35.000, 3.226e-9
35.500, 3.224e-9
36.000, 3.222e-9
36.500, 3.220e-9
37.000, 3.218e-9
37.500, 3.217e-9
38.000, 3.214e-9
38.500, 3.212e-9
39.000, 3.210e-9
39.500, 3.208e-9
40.000, 3.206e-9
40.500, 3.205e-9
41.000, 3.203e-9
41.500, 3.201e-9
42.000, 3.199e-9
42.500, 3.197e-9
43.000, 3.196e-9
43.500, 3.194e-9
44.000, 3.192e-9
44.500, 3.191e-9
45.000, 3.190e-9
45.500, 3.188e-9
46.000, 3.186e-9
46.500, 3.185e-9
47.000, 3.183e-9
47.500, 3.182e-9
48.000, 3.181e-9
48.500, 3.179e-9
49.000, 3.178e-9
49.500, 3.176e-9
50.000, 3.175e-9
50.500, 3.173e-9
51.000, 3.171e-9
51.500, 3.170e-9
52.000, 3.169e-9
52.500, 3.167e-9
53.000, 3.166e-9
53.500, 3.165e-9
54.000, 3.163e-9
54.500, 3.162e-9
55.000, 3.161e-9
55.500, 3.159e-9
56.000, 3.158e-9
56.500, 3.158e-9
57.000, 3.157e-9
57.500, 3.155e-9
58.000, 3.154e-9
58.500, 3.152e-9
59.000, 3.151e-9
59.500, 3.150e-9
60.000, 3.149e-9
60.500, 3.148e-9
61.000, 3.146e-9
61.500, 3.145e-9
62.000, 3.144e-9
62.500, 3.143e-9
63.000, 3.142e-9
63.500, 3.141e-9
64.000, 3.140e-9
64.500, 3.139e-9
65.000, 3.137e-9
65.500, 3.136e-9
66.000, 3.135e-9
66.500, 3.134e-9
67.000, 3.133e-9
67.500, 3.131e-9
68.000, 3.130e-9
68.500, 3.129e-9
69.000, 3.128e-9
69.500, 3.127e-9
70.000, 3.126e-9
70.500, 3.126e-9
71.000, 3.124e-9
71.500, 3.123e-9
72.000, 3.123e-9
72.500, 3.122e-9
73.000, 3.120e-9
73.500, 3.119e-9
74.000, 3.118e-9
74.500, 3.118e-9
75.000, 3.117e-9
75.500, 3.116e-9
76.000, 3.115e-9
76.500, 3.114e-9
77.000, 3.113e-9
77.500, 3.111e-9
78.000, 3.111e-9
78.500, 3.110e-9
79.000, 3.109e-9
79.500, 3.108e-9
80.000, 3.107e-9
80.500, 3.106e-9
81.000, 3.105e-9
81.500, 3.105e-9
82.000, 3.104e-9
82.500, 3.103e-9
83.000, 3.102e-9
83.500, 3.101e-9
84.000, 3.100e-9
84.500, 3.099e-9
85.000, 3.098e-9
85.500, 3.098e-9
86.000, 3.096e-9
86.500, 3.095e-9
87.000, 3.095e-9
87.500, 3.094e-9
88.000, 3.093e-9
88.500, 3.092e-9
89.000, 3.091e-9
89.500, 3.090e-9
90.000, 3.089e-9
90.500, 3.089e-9
91.000, 3.088e-9
91.500, 3.087e-9
92.000, 3.086e-9
92.500, 3.085e-9
93.000, 3.084e-9
93.500, 3.084e-9
94.000, 3.083e-9
94.500, 3.082e-9
95.000, 3.081e-9
95.500, 3.081e-9
96.000, 3.080e-9
96.500, 3.079e-9
97.000, 3.078e-9
97.500, 3.077e-9
98.000, 3.077e-9
98.500, 3.076e-9
99.000, 3.075e-9
99.500, 3.074e-9
100.000, 3.073e-9
100.500, 3.073e-9
101.000, 3.072e-9
101.500, 3.071e-9
102.000, 3.070e-9
102.500, 3.070e-9
103.000, 3.069e-9
103.500, 3.067e-9
104.000, 3.067e-9
104.500, 3.066e-9
105.000, 3.066e-9
105.500, 3.065e-9
106.000, 3.064e-9
106.500, 3.063e-9
107.000, 3.062e-9
107.500, 3.061e-9
108.000, 3.061e-9
108.500, 3.060e-9
109.000, 3.059e-9
109.500, 3.058e-9
110.000, 3.057e-9
110.500, 3.057e-9
111.000, 3.057e-9
111.500, 3.056e-9
112.000, 3.055e-9
112.500, 3.054e-9
113.000, 3.053e-9
113.500, 3.053e-9
114.000, 3.052e-9
114.500, 3.052e-9
115.000, 3.050e-9
115.500, 3.049e-9
116.000, 3.048e-9
116.500, 3.047e-9
117.000, 3.047e-9
117.500, 3.046e-9
118.000, 3.046e-9
118.500, 3.045e-9
119.000, 3.044e-9
119.500, 3.044e-9
120.000, 3.043e-9
120.500, 3.042e-9
121.000, 3.042e-9
121.500, 3.041e-9
122.000, 3.040e-9
122.500, 3.039e-9
123.000, 3.039e-9
123.500, 3.038e-9
124.000, 3.037e-9
124.500, 3.037e-9
125.000, 3.036e-9
125.500, 3.036e-9
126.000, 3.035e-9
126.500, 3.034e-9
127.000, 3.033e-9
127.500, 3.033e-9
128.000, 3.032e-9
128.500, 3.032e-9
129.000, 3.031e-9
129.500, 3.030e-9
130.000, 3.029e-9
130.500, 3.028e-9
131.000, 3.028e-9
131.500, 3.027e-9
132.000, 3.026e-9
132.500, 3.025e-9
133.000, 3.025e-9
133.500, 3.024e-9
134.000, 3.024e-9
134.500, 3.024e-9
135.000, 3.023e-9
135.500, 3.022e-9
136.000, 3.021e-9
136.500, 3.020e-9
137.000, 3.020e-9
137.500, 3.019e-9
138.000, 3.018e-9
138.500, 3.018e-9
139.000, 3.017e-9
139.500, 3.017e-9
140.000, 3.016e-9
140.500, 3.015e-9
141.000, 3.014e-9
141.500, 3.014e-9
142.000, 3.013e-9
142.500, 3.012e-9
143.000, 3.012e-9
143.500, 3.011e-9
144.000, 3.010e-9
144.500, 3.010e-9
145.000, 3.009e-9
145.500, 3.009e-9
146.000, 3.008e-9
146.500, 3.007e-9
147.000, 3.007e-9
147.500, 3.006e-9
148.000, 3.005e-9
148.500, 3.005e-9
149.000, 3.004e-9
149.500, 3.004e-9
150.000, 3.003e-9
150.500, 3.002e-9
151.000, 3.002e-9
151.500, 3.001e-9
152.000, 3.000e-9
152.500, 3.000e-9
153.000, 2.999e-9
153.500, 2.998e-9
154.000, 2.998e-9
154.500, 2.996e-9
155.000, 2.996e-9
155.500, 2.995e-9
156.000, 2.994e-9
156.500, 2.994e-9
157.000, 2.994e-9
157.500, 2.993e-9
158.000, 2.993e-9
158.500, 2.992e-9
159.000, 2.991e-9
159.500, 2.991e-9
160.000, 2.990e-9
160.500, 2.989e-9
161.000, 2.989e-9
161.500, 2.988e-9
162.000, 2.987e-9
162.500, 2.987e-9
163.000, 2.986e-9
163.500, 2.986e-9
164.000, 2.985e-9
164.500, 2.984e-9
165.000, 2.984e-9
165.500, 2.983e-9
166.000, 2.983e-9
166.500, 2.982e-9
167.000, 2.982e-9
167.500, 2.981e-9
168.000, 2.980e-9
168.500, 2.980e-9
169.000, 2.979e-9
169.500, 2.978e-9
170.000, 2.978e-9
170.500, 2.977e-9
171.000, 2.976e-9
171.500, 2.976e-9
172.000, 2.976e-9
172.500, 2.975e-9
173.000, 2.975e-9
173.500, 2.974e-9
174.000, 2.973e-9
174.500, 2.973e-9
175.000, 2.972e-9
175.500, 2.971e-9
176.000, 2.971e-9
176.500, 2.970e-9
177.000, 2.970e-9
177.500, 2.969e-9
178.000, 2.969e-9
178.500, 2.968e-9
179.000, 2.967e-9
179.500, 2.967e-9
180.000, 2.966e-9
180.500, 2.965e-9
181.000, 2.965e-9
181.500, 2.964e-9
182.000, 2.964e-9
182.500, 2.963e-9
183.000, 2.962e-9
183.500, 2.962e-9
184.000, 2.961e-9
184.500, 2.961e-9
185.000, 2.960e-9
185.500, 2.959e-9
186.000, 2.959e-9
186.500, 2.958e-9
187.000, 2.958e-9
187.500, 2.957e-9
188.000, 2.957e-9
188.500, 2.956e-9
189.000, 2.955e-9
189.500, 2.955e-9
190.000, 2.955e-9
190.500, 2.954e-9
191.000, 2.953e-9
191.500, 2.953e-9
192.000, 2.952e-9
192.500, 2.951e-9
193.000, 2.951e-9
193.500, 2.950e-9
194.000, 2.950e-9
194.500, 2.949e-9
195.000, 2.949e-9
195.500, 2.948e-9
196.000, 2.948e-9
196.500, 2.947e-9
197.000, 2.947e-9
197.500, 2.946e-9
198.000, 2.946e-9
198.500, 2.945e-9
199.000, 2.944e-9
199.500, 2.944e-9
200.000, 2.944e-9
200.500, 2.943e-9
201.000, 2.942e-9
201.500, 2.942e-9
202.000, 2.942e-9
202.500, 2.941e-9
203.000, 2.940e-9
203.500, 2.940e-9
204.000, 2.939e-9
204.500, 2.939e-9
205.000, 2.939e-9
205.500, 2.938e-9
206.000, 2.937e-9
206.500, 2.937e-9
207.000, 2.937e-9
207.500, 2.936e-9
208.000, 2.935e-9
208.500, 2.935e-9
209.000, 2.934e-9
209.500, 2.933e-9
210.000, 2.933e-9
210.500, 2.933e-9
211.000, 2.932e-9
211.500, 2.932e-9
212.000, 2.931e-9
212.500, 2.931e-9
213.000, 2.930e-9
213.500, 2.930e-9
214.000, 2.930e-9
214.500, 2.929e-9
215.000, 2.929e-9
215.500, 2.928e-9
216.000, 2.928e-9
216.500, 2.927e-9
217.000, 2.927e-9
217.500, 2.926e-9
218.000, 2.926e-9
218.500, 2.925e-9
219.000, 2.925e-9
219.500, 2.925e-9
220.000, 2.924e-9
220.500, 2.924e-9
221.000, 2.923e-9
221.500, 2.923e-9
222.000, 2.922e-9
222.500, 2.922e-9
223.000, 2.921e-9
223.500, 2.920e-9
224.000, 2.920e-9
224.500, 2.919e-9
225.000, 2.919e-9
225.500, 2.919e-9
226.000, 2.918e-9
226.500, 2.917e-9
227.000, 2.917e-9
227.500, 2.917e-9
228.000, 2.916e-9
228.500, 2.916e-9
229.000, 2.916e-9
229.500, 2.915e-9
230.000, 2.914e-9
230.500, 2.914e-9
231.000, 2.914e-9
231.500, 2.913e-9
232.000, 2.913e-9
232.500, 2.912e-9
233.000, 2.912e-9
233.500, 2.912e-9
234.000, 2.911e-9
234.500, 2.911e-9
235.000, 2.910e-9
235.500, 2.910e-9
236.000, 2.909e-9
236.500, 2.909e-9
237.000, 2.908e-9
237.500, 2.908e-9
238.000, 2.907e-9
238.500, 2.907e-9
239.000, 2.907e-9
239.500, 2.906e-9
240.000, 2.906e-9
240.500, 2.906e-9
241.000, 2.905e-9
241.500, 2.905e-9
242.000, 2.905e-9
242.500, 2.904e-9
243.000, 2.904e-9
243.500, 2.903e-9
244.000, 2.902e-9
244.500, 2.902e-9
245.000, 2.902e-9
245.500, 2.901e-9
246.000, 2.901e-9
246.500, 2.901e-9
247.000, 2.900e-9
247.500, 2.900e-9
248.000, 2.899e-9
248.500, 2.899e-9
249.000, 2.898e-9
249.500, 2.898e-9
250.000, 2.898e-9
250.500, 2.897e-9
251.000, 2.897e-9
251.500, 2.897e-9
252.000, 2.896e-9
252.500, 2.896e-9
253.000, 2.896e-9
253.500, 2.895e-9
254.000, 2.894e-9
254.500, 2.894e-9
255.000, 2.894e-9
255.500, 2.893e-9
256.000, 2.893e-9
256.500, 2.893e-9
257.000, 2.892e-9
257.500, 2.892e-9
258.000, 2.891e-9
258.500, 2.891e-9
259.000, 2.891e-9
259.500, 2.890e-9
260.000, 2.890e-9
260.500, 2.890e-9
261.000, 2.889e-9
261.500, 2.889e-9
262.000, 2.889e-9
262.500, 2.888e-9
263.000, 2.888e-9
263.500, 2.887e-9
264.000, 2.887e-9
264.500, 2.887e-9
265.000, 2.887e-9
265.500, 2.886e-9
266.000, 2.886e-9
266.500, 2.886e-9
267.000, 2.885e-9
267.500, 2.885e-9
268.000, 2.884e-9
268.500, 2.884e-9
269.000, 2.884e-9
269.500, 2.883e-9
270.000, 2.883e-9
270.500, 2.882e-9
271.000, 2.882e-9
271.500, 2.882e-9
272.000, 2.882e-9
272.500, 2.881e-9
273.000, 2.881e-9
273.500, 2.880e-9
274.000, 2.880e-9
274.500, 2.880e-9
275.000, 2.880e-9
275.500, 2.879e-9
276.000, 2.879e-9
276.500, 2.878e-9
277.000, 2.878e-9
277.500, 2.878e-9
278.000, 2.878e-9
278.500, 2.878e-9
279.000, 2.877e-9
279.500, 2.876e-9
280.000, 2.876e-9
280.500, 2.876e-9
281.000, 2.875e-9
281.500, 2.875e-9
282.000, 2.875e-9
282.500, 2.874e-9
283.000, 2.874e-9
283.500, 2.874e-9
284.000, 2.873e-9
284.500, 2.873e-9
285.000, 2.873e-9
285.500, 2.873e-9
286.000, 2.872e-9
286.500, 2.872e-9
287.000, 2.872e-9
287.500, 2.872e-9
288.000, 2.871e-9
288.500, 2.871e-9
289.000, 2.870e-9
289.500, 2.870e-9
290.000, 2.869e-9
290.500, 2.869e-9
291.000, 2.869e-9
291.500, 2.869e-9
292.000, 2.868e-9
292.500, 2.868e-9
293.000, 2.868e-9
293.500, 2.867e-9
294.000, 2.867e-9
294.500, 2.867e-9
295.000, 2.866e-9
295.500, 2.866e-9
296.000, 2.866e-9
296.500, 2.866e-9
297.000, 2.865e-9
297.500, 2.865e-9
298.000, 2.865e-9
298.500, 2.864e-9
299.000, 2.864e-9
299.500, 2.864e-9
300.000, 2.864e-9
300.500, 2.863e-9
301.000, 2.863e-9
301.500, 2.863e-9
302.000, 2.862e-9
302.500, 2.862e-9
303.000, 2.861e-9
303.500, 2.861e-9
304.000, 2.861e-9
304.500, 2.861e-9
305.000, 2.860e-9
305.500, 2.860e-9
306.000, 2.860e-9
306.500, 2.860e-9
307.000, 2.859e-9
307.500, 2.859e-9
308.000, 2.859e-9
308.500, 2.858e-9
309.000, 2.858e-9
309.500, 2.858e-9
310.000, 2.858e-9
310.500, 2.857e-9
311.000, 2.857e-9
311.500, 2.857e-9
312.000, 2.856e-9
312.500, 2.856e-9
313.000, 2.856e-9
313.500, 2.856e-9
314.000, 2.855e-9
314.500, 2.855e-9
315.000, 2.855e-9
315.500, 2.855e-9
316.000, 2.854e-9
316.500, 2.854e-9
317.000, 2.854e-9
317.500, 2.853e-9
318.000, 2.853e-9
318.500, 2.853e-9
319.000, 2.853e-9
319.500, 2.852e-9
320.000, 2.852e-9
320.500, 2.852e-9
321.000, 2.851e-9
321.500, 2.851e-9
322.000, 2.851e-9
322.500, 2.850e-9
323.000, 2.850e-9
323.500, 2.850e-9
324.000, 2.849e-9
324.500, 2.849e-9
325.000, 2.849e-9
325.500, 2.849e-9
326.000, 2.849e-9
326.500, 2.848e-9
327.000, 2.848e-9
327.500, 2.848e-9
328.000, 2.847e-9
328.500, 2.847e-9
329.000, 2.847e-9
329.500, 2.847e-9
330.000, 2.847e-9
330.500, 2.846e-9
331.000, 2.846e-9
331.500, 2.846e-9
332.000, 2.846e-9
332.500, 2.845e-9
333.000, 2.845e-9
333.500, 2.844e-9
334.000, 2.844e-9
334.500, 2.844e-9
335.000, 2.843e-9
335.500, 2.843e-9
336.000, 2.843e-9
336.500, 2.843e-9
337.000, 2.843e-9
337.500, 2.842e-9
338.000, 2.842e-9
338.500, 2.841e-9
339.000, 2.841e-9
339.500, 2.841e-9
340.000, 2.841e-9
340.500, 2.840e-9
341.000, 2.840e-9
341.500, 2.840e-9
342.000, 2.840e-9
342.500, 2.840e-9
343.000, 2.839e-9
343.500, 2.839e-9
344.000, 2.839e-9
344.500, 2.838e-9
345.000, 2.839e-9
345.500, 2.838e-9
346.000, 2.838e-9
346.500, 2.837e-9
347.000, 2.837e-9
347.500, 2.837e-9
348.000, 2.836e-9
348.500, 2.836e-9
349.000, 2.836e-9
349.500, 2.836e-9
350.000, 2.835e-9
350.500, 2.835e-9
351.000, 2.835e-9
351.500, 2.834e-9
352.000, 2.834e-9
352.500, 2.834e-9
353.000, 2.834e-9
353.500, 2.833e-9
354.000, 2.833e-9
354.500, 2.833e-9
355.000, 2.833e-9
355.500, 2.832e-9
356.000, 2.832e-9
356.500, 2.832e-9
357.000, 2.831e-9
357.500, 2.831e-9
358.000, 2.831e-9
358.500, 2.831e-9
359.000, 2.831e-9
359.500, 2.830e-9
360.000, 2.830e-9
360.500, 2.830e-9
361.000, 2.829e-9
361.500, 2.829e-9
362.000, 2.829e-9
362.500, 2.829e-9
363.000, 2.829e-9
363.500, 2.829e-9
364.000, 2.828e-9
364.500, 2.828e-9
365.000, 2.827e-9
365.500, 2.827e-9
366.000, 2.827e-9
366.500, 2.826e-9
367.000, 2.826e-9
367.500, 2.826e-9
368.000, 2.826e-9
368.500, 2.825e-9
369.000, 2.825e-9
369.500, 2.825e-9
370.000, 2.825e-9
370.500, 2.824e-9
371.000, 2.824e-9
371.500, 2.824e-9
372.000, 2.824e-9
372.500, 2.823e-9
373.000, 2.823e-9
373.500, 2.823e-9
374.000, 2.822e-9
374.500, 2.822e-9
375.000, 2.822e-9
375.500, 2.822e-9
376.000, 2.821e-9
376.500, 2.821e-9
377.000, 2.821e-9
377.500, 2.821e-9
378.000, 2.820e-9
378.500, 2.820e-9
379.000, 2.820e-9
379.500, 2.820e-9
380.000, 2.819e-9
380.500, 2.819e-9
381.000, 2.819e-9
381.500, 2.819e-9
382.000, 2.818e-9
382.500, 2.818e-9
383.000, 2.818e-9
383.500, 2.817e-9
384.000, 2.817e-9
384.500, 2.817e-9
385.000, 2.817e-9
385.500, 2.816e-9
386.000, 2.816e-9
386.500, 2.816e-9
387.000, 2.816e-9
387.500, 2.816e-9
388.000, 2.815e-9
388.500, 2.815e-9
389.000, 2.815e-9
389.500, 2.815e-9
390.000, 2.814e-9
390.500, 2.814e-9
391.000, 2.814e-9
391.500, 2.814e-9
392.000, 2.813e-9
392.500, 2.813e-9
393.000, 2.813e-9
393.500, 2.813e-9
394.000, 2.813e-9
394.500, 2.812e-9
395.000, 2.812e-9
395.500, 2.812e-9
396.000, 2.812e-9
396.500, 2.811e-9
397.000, 2.811e-9
397.500, 2.811e-9
398.000, 2.811e-9
398.500, 2.810e-9
399.000, 2.810e-9
399.500, 2.810e-9
400.000, 2.810e-9
400.500, 2.810e-9
401.000, 2.810e-9
401.500, 2.809e-9
402.000, 2.809e-9
402.500, 2.809e-9
403.000, 2.809e-9
403.500, 2.809e-9
404.000, 2.808e-9
404.500, 2.809e-9
405.000, 2.808e-9
405.500, 2.808e-9
406.000, 2.808e-9
406.500, 2.808e-9
407.000, 2.807e-9
407.500, 2.807e-9
408.000, 2.807e-9
408.500, 2.807e-9
409.000, 2.807e-9
409.500, 2.807e-9
410.000, 2.807e-9
410.500, 2.807e-9
411.000, 2.807e-9
411.500, 2.806e-9
412.000, 2.806e-9
412.500, 2.806e-9
413.000, 2.806e-9
413.500, 2.806e-9
414.000, 2.806e-9
414.500, 2.805e-9
415.000, 2.804e-9
415.500, 2.805e-9
416.000, 2.805e-9
416.500, 2.805e-9
417.000, 2.805e-9
417.500, 2.805e-9
418.000, 2.805e-9
418.500, 2.805e-9
419.000, 2.805e-9
419.500, 2.805e-9
420.000, 2.805e-9
420.500, 2.805e-9
421.000, 2.804e-9
421.500, 2.805e-9
422.000, 2.805e-9
422.500, 2.805e-9
423.000, 2.805e-9
423.500, 2.805e-9
424.000, 2.805e-9
424.500, 2.805e-9
425.000, 2.805e-9
425.500, 2.805e-9
426.000, 2.805e-9
426.500, 2.805e-9
427.000, 2.805e-9
427.500, 2.806e-9
428.000, 2.805e-9
428.500, 2.805e-9
429.000, 2.805e-9
429.500, 2.805e-9
430.000, 2.805e-9
430.500, 2.805e-9
431.000, 2.805e-9
431.500, 2.806e-9
432.000, 2.806e-9
432.500, 2.806e-9
433.000, 2.806e-9
433.500, 2.806e-9
434.000, 2.807e-9
434.500, 2.807e-9
435.000, 2.806e-9
435.500, 2.807e-9
436.000, 2.807e-9
436.500, 2.807e-9
437.000, 2.807e-9
437.500, 2.808e-9
438.000, 2.808e-9
438.500, 2.808e-9
439.000, 2.808e-9
439.500, 2.808e-9
440.000, 2.809e-9
440.500, 2.809e-9
441.000, 2.810e-9
441.500, 2.810e-9
442.000, 2.810e-9
442.500, 2.811e-9
443.000, 2.811e-9
443.500, 2.811e-9
444.000, 2.812e-9
444.500, 2.812e-9
445.000, 2.813e-9
445.500, 2.813e-9
446.000, 2.814e-9
446.500, 2.814e-9
447.000, 2.814e-9
447.500, 2.815e-9
448.000, 2.816e-9
448.500, 2.816e-9
449.000, 2.817e-9
449.500, 2.818e-9
450.000, 2.819e-9
450.500, 2.819e-9
451.000, 2.820e-9
451.500, 2.820e-9
452.000, 2.821e-9
452.500, 2.822e-9
453.000, 2.823e-9
453.500, 2.823e-9
454.000, 2.824e-9
454.500, 2.825e-9
455.000, 2.826e-9
455.500, 2.827e-9
456.000, 2.828e-9
456.500, 2.829e-9
457.000, 2.830e-9
457.500, 2.831e-9
458.000, 2.832e-9
458.500, 2.833e-9
459.000, 2.834e-9
459.500, 2.836e-9
460.000, 2.837e-9
460.500, 2.838e-9
461.000, 2.840e-9
461.500, 2.841e-9
462.000, 2.843e-9
462.500, 2.844e-9
463.000, 2.845e-9
463.500, 2.847e-9
464.000, 2.848e-9
464.500, 2.850e-9
465.000, 2.852e-9
465.500, 2.854e-9
466.000, 2.856e-9
466.500, 2.858e-9
467.000, 2.860e-9
467.500, 2.862e-9
468.000, 2.864e-9
468.500, 2.866e-9
469.000, 2.868e-9
469.500, 2.871e-9
470.000, 2.873e-9
470.500, 2.876e-9
471.000, 2.878e-9
471.500, 2.881e-9
472.000, 2.884e-9
472.500, 2.887e-9
473.000, 2.890e-9
473.500, 2.893e-9
474.000, 2.896e-9
474.500, 2.900e-9
475.000, 2.903e-9
475.500, 2.907e-9
476.000, 2.911e-9
476.500, 2.915e-9
477.000, 2.920e-9
477.500, 2.925e-9
478.000, 2.929e-9
478.500, 2.934e-9
479.000, 2.938e-9
479.500, 2.944e-9
480.000, 2.950e-9
480.500, 2.956e-9
481.000, 2.962e-9
481.500, 2.969e-9
482.000, 2.976e-9
482.500, 2.983e-9
483.000, 2.990e-9
483.500, 2.997e-9
484.000, 3.005e-9
484.500, 3.014e-9
485.000, 3.024e-9
485.500, 3.035e-9
486.000, 3.045e-9
486.500, 3.056e-9
487.000, 3.068e-9
487.500, 3.081e-9
488.000, 3.094e-9
488.500, 3.107e-9
489.000, 3.122e-9
489.500, 3.140e-9
490.000, 3.160e-9
490.500, 3.180e-9
491.000, 3.200e-9
491.500, 3.221e-9
492.000, 3.246e-9
492.500, 3.273e-9
493.000, 3.301e-9
493.500, 3.330e-9
494.000, 3.365e-9
494.500, 3.410e-9
495.000, 3.462e-9
495.500, 3.516e-9
496.000, 3.570e-9
496.500, 3.633e-9
497.000, 3.713e-9
497.500, 3.805e-9
498.000, 3.905e-9
498.500, 4.018e-9
499.000, 4.171e-9
499.500, 4.375e-9
500.000, 4.516e-9
500.500, 4.575e-9
501.000, 4.600e-9
501.500, 4.618e-9
502.000, 4.636e-9
502.500, 4.654e-9
503.000, 4.671e-9
503.500, 4.689e-9
504.000, 4.709e-9
504.500, 4.732e-9
505.000, 4.756e-9
505.500, 4.776e-9
506.000, 4.794e-9
506.500, 4.812e-9
507.000, 4.833e-9
507.500, 4.853e-9
508.000, 4.871e-9
508.500, 4.890e-9
509.000, 4.911e-9
509.500, 4.937e-9
510.000, 4.962e-9
510.500, 4.983e-9
511.000, 5.002e-9
511.500, 5.021e-9
512.000, 5.044e-9
512.500, 5.067e-9
513.000, 5.088e-9
513.500, 5.109e-9
514.000, 5.133e-9
514.500, 5.163e-9
515.000, 5.193e-9
515.500, 5.222e-9
516.000, 5.247e-9
516.500, 5.273e-9
517.000, 5.304e-9
517.500, 5.340e-9
518.000, 5.370e-9
518.500, 5.395e-9
519.000, 5.422e-9
519.500, 5.455e-9
520.000, 5.488e-9
520.500, 5.515e-9
521.000, 5.539e-9
521.500, 5.564e-9
522.000, 5.592e-9
522.500, 5.619e-9
523.000, 5.645e-9
523.500, 5.671e-9
524.000, 5.698e-9
524.500, 5.729e-9
525.000, 5.761e-9
525.500, 5.789e-9
526.000, 5.815e-9
526.500, 5.842e-9
527.000, 5.873e-9
527.500, 5.907e-9
528.000, 5.934e-9
528.500, 5.959e-9
529.000, 5.988e-9
529.500, 6.025e-9
530.000, 6.064e-9
530.500, 6.098e-9
531.000, 6.129e-9
531.500, 6.163e-9
532.000, 6.202e-9
532.500, 6.243e-9
533.000, 6.281e-9
533.500, 6.316e-9
534.000, 6.355e-9
534.500, 6.408e-9
535.000, 6.466e-9
535.500, 6.517e-9
536.000, 6.562e-9
536.500, 6.608e-9
537.000, 6.662e-9
537.500, 6.721e-9
538.000, 6.778e-9
538.500, 6.834e-9
539.000, 6.898e-9
539.500, 6.980e-9
540.000, 7.076e-9
540.500, 7.168e-9
541.000, 7.252e-9
541.500, 7.336e-9
542.000, 7.437e-9
542.500, 7.553e-9
543.000, 7.669e-9
543.500, 7.788e-9
544.000, 7.925e-9
544.500, 8.111e-9
545.000, 8.335e-9
545.500, 8.749e-9
546.000, 1.002e-8
546.500, 1.006e-8
547.000, 1.006e-8
547.500, 1.006e-8
548.000, 1.006e-8
548.500, 1.006e-8
549.000, 1.006e-8
549.500, 1.006e-8
550.000, 1.006e-8
550.500, 1.006e-8
551.000, 1.006e-8
551.500, 1.006e-8
552.000, 1.006e-8
552.500, 1.006e-8
553.000, 1.006e-8
553.500, 1.006e-8
