8841.499	3.80E-09									
8840.999	3.80E-09									
8840.499	3.80E-09										
8839.999	3.80E-09										
8839.499	3.80E-09										
8838.999	3.80E-09										
8838.499	3.80E-09										
8837.999	3.80E-09										
8837.499	3.80E-09										
8836.999	3.80E-09										
8836.499	3.80E-09										
8835.999	3.80E-09										
8835.499	3.80E-09										
8834.999	3.80E-09										
8834.499	3.80E-09										
8833.999	3.80E-09										
8833.499	3.80E-09										
8832.999	3.80E-09										
8832.499	3.80E-09										
8831.999	3.80E-09										
8831.499	3.80E-09										
8830.999	3.80E-09										
8830.499	3.80E-09										
8829.999	3.80E-09										
8829.499	3.80E-09										
8828.999	3.80E-09										
8828.499	3.80E-09										
8827.999	3.80E-09										
8827.499	3.80E-09										
8826.999	3.80E-09										
8826.499	3.80E-09										
8825.999	3.80E-09										
8825.499	3.79E-09										
8824.999	3.79E-09										
8824.499	3.79E-09										
8823.999	3.78E-09										
8823.499	3.78E-09										
8822.999	3.78E-09										
8822.499	3.77E-09										
8821.999	3.77E-09										
8821.499	3.77E-09										
8820.999	3.76E-09										
8820.499	3.76E-09										
8819.999	3.76E-09										
8819.499	3.75E-09										
8818.999	3.75E-09										
8818.499	3.75E-09										
8817.999	3.74E-09										
8817.499	3.74E-09										
8816.999	3.74E-09										
8816.499	3.74E-09										
8815.999	3.74E-09										
8815.499	3.74E-09										
8814.999	3.75E-09										
8814.499	3.75E-09										
8813.999	3.75E-09										
8813.499	3.75E-09										
8812.999	3.75E-09										
8812.499	3.76E-09										
8811.999	3.76E-09										
8811.499	3.77E-09										
8810.999	3.77E-09										
8810.499	3.78E-09										
8809.999	3.78E-09										
8809.499	3.78E-09										
8808.999	3.79E-09										
8808.499	3.79E-09										
8807.999	3.80E-09										
8807.499	3.80E-09										
8806.999	3.81E-09										
8806.499	3.81E-09										
8805.999	3.81E-09										
8805.499	3.82E-09										
8804.999	3.82E-09										
8804.499	3.82E-09										
8803.999	3.82E-09										
8803.499	3.83E-09										
8802.999	3.83E-09										
8802.499	3.83E-09										
8801.999	3.83E-09										
8801.499	3.83E-09										
8800.999	3.83E-09										
8800.499	3.83E-09										
8799.999	3.84E-09										
8799.499	3.83E-09										
8798.999	3.84E-09										
8798.499	3.84E-09										
8797.999	3.84E-09										
8797.499	3.84E-09										
8796.999	3.84E-09										
8796.499	3.84E-09										
8795.999	3.84E-09										
8795.499	3.84E-09										
8794.999	3.84E-09										
8794.499	3.84E-09										
8793.999	3.84E-09										
8793.499	3.84E-09										
8792.999	3.84E-09										
8792.499	3.84E-09										
8791.999	3.84E-09										
8791.499	3.84E-09										
8790.999	3.84E-09										
8790.499	3.84E-09										
8789.999	3.84E-09										
8789.499	3.84E-09										
8788.999	3.84E-09										
8788.499	3.84E-09										
8787.999	3.84E-09										
8787.499	3.84E-09										
8786.999	3.84E-09										
8786.499	3.84E-09										
8785.999	3.84E-09										
8785.499	3.84E-09										
8784.999	3.84E-09										
8784.499	3.84E-09										
8783.999	3.84E-09										
8783.499	3.84E-09										
8782.999	3.84E-09										
8782.499	3.84E-09										
8781.999	3.84E-09										
8781.499	3.84E-09										
8780.999	3.84E-09										
8780.499	3.84E-09										
8779.999	3.84E-09										
8779.499	3.84E-09										
8778.999	3.84E-09										
8778.499	3.84E-09										
8777.999	3.84E-09										
8777.499	3.84E-09										
8776.999	3.84E-09										
8776.499	3.84E-09										
8775.999	3.84E-09										
8775.499	3.84E-09										
8774.999	3.84E-09										
8774.499	3.83E-09										
8773.999	3.84E-09										
8773.499	3.84E-09										
8772.999	3.84E-09										
8772.499	3.83E-09										
8771.999	3.83E-09										
8771.499	3.83E-09										
8770.999	3.83E-09										
8770.499	3.83E-09										
8769.999	3.83E-09										
8769.499	3.83E-09										
8768.999	3.83E-09										
8768.499	3.83E-09										
8767.999	3.83E-09										
8767.499	3.83E-09										
8766.999	3.83E-09										
8766.499	3.83E-09										
8765.999	3.83E-09										
8765.499	3.83E-09										
8764.999	3.83E-09										
8764.499	3.83E-09										
8763.999	3.83E-09										
8763.499	3.83E-09										
8762.999	3.83E-09										
8762.499	3.83E-09										
8761.999	3.83E-09										
8761.499	3.83E-09										
8760.999	3.83E-09										
8760.499	3.83E-09										
8759.999	3.83E-09										
8759.499	3.83E-09										
8758.999	3.83E-09										
8758.499	3.83E-09										
8757.999	3.83E-09										
8757.499	3.83E-09										
8756.999	3.82E-09										
8756.499	3.83E-09										
8755.999	3.83E-09										
8755.499	3.82E-09										
8754.999	3.82E-09										
8754.499	3.83E-09										
8753.999	3.83E-09										
8753.499	3.82E-09										
8752.999	3.82E-09										
8752.499	3.82E-09										
8751.999	3.82E-09										
8751.499	3.82E-09										
8750.999	3.82E-09										
8750.499	3.82E-09										
8749.999	3.82E-09										
8749.499	3.82E-09										
8748.999	3.82E-09										
8748.499	3.82E-09										
8747.999	3.82E-09										
8747.499	3.82E-09										
8746.999	3.82E-09										
8746.499	3.82E-09										
8745.999	3.82E-09										
8745.499	3.82E-09										
8744.999	3.82E-09										
8744.499	3.82E-09										
8743.999	3.82E-09										
8743.499	3.82E-09										
8742.999	3.82E-09										
8742.499	3.82E-09										
8741.999	3.82E-09										
8741.499	3.82E-09										
8740.999	3.82E-09										
8740.499	3.82E-09										
8739.999	3.82E-09										
8739.499	3.82E-09										
8738.999	3.82E-09										
8738.499	3.81E-09										
8737.999	3.82E-09										
8737.499	3.81E-09										
8736.999	3.81E-09										
8736.499	3.81E-09										
8735.999	3.81E-09										
8735.499	3.81E-09										
8734.999	3.81E-09										
8734.499	3.81E-09										
8733.999	3.81E-09										
8733.499	3.81E-09										
8732.999	3.81E-09										
8732.499	3.81E-09										
8731.999	3.81E-09										
8731.499	3.81E-09										
8730.999	3.81E-09										
8730.499	3.81E-09										
8729.999	3.81E-09										
8729.499	3.81E-09										
8728.999	3.81E-09										
8728.499	3.81E-09										
8727.999	3.81E-09										
8727.499	3.81E-09										
8726.999	3.81E-09										
8726.499	3.81E-09										
8725.999	3.81E-09										
8725.499	3.81E-09										
8724.999	3.81E-09										
8724.499	3.81E-09										
8723.999	3.81E-09										
8723.499	3.81E-09										
8722.999	3.81E-09										
8722.499	3.81E-09										
8721.999	3.81E-09										
8721.499	3.81E-09										
8720.999	3.81E-09										
8720.499	3.81E-09										
8719.999	3.81E-09										
8719.499	3.81E-09										
8718.999	3.81E-09										
8718.499	3.81E-09										
8717.999	3.81E-09										
8717.499	3.81E-09										
8716.999	3.81E-09										
8716.499	3.81E-09										
8715.999	3.81E-09										
8715.499	3.81E-09										
8714.999	3.81E-09										
8714.499	3.81E-09										
8713.999	3.81E-09										
8713.499	3.81E-09										
8712.999	3.81E-09										
8712.499	3.81E-09										
8711.999	3.81E-09										
8711.499	3.81E-09										
8710.999	3.81E-09										
8710.499	3.81E-09										
8709.999	3.81E-09										
8709.499	3.81E-09										
8708.999	3.81E-09										
8708.499	3.81E-09										
8707.999	3.81E-09										
8707.499	3.81E-09										
8706.999	3.81E-09										
8706.499	3.81E-09										
8705.999	3.81E-09										
8705.499	3.81E-09										
8704.999	3.81E-09										
8704.499	3.81E-09										
8703.999	3.81E-09										
8703.499	3.81E-09										
8702.999	3.81E-09										
8702.499	3.81E-09										
8701.999	3.81E-09										
8701.499	3.81E-09										
8700.999	3.81E-09										
8700.499	3.81E-09										
8699.999	3.81E-09										
8699.499	3.81E-09										
8698.999	3.81E-09										
8698.499	3.81E-09										
8697.999	3.81E-09										
8697.499	3.81E-09										
8696.999	3.81E-09										
8696.499	3.81E-09										
8695.999	3.81E-09										
8695.499	3.81E-09										
8694.999	3.81E-09										
8694.499	3.81E-09										
8693.999	3.81E-09										
8693.499	3.81E-09										
8692.999	3.81E-09										
8692.499	3.81E-09										
8691.999	3.81E-09										
8691.499	3.81E-09										
8690.999	3.81E-09										
8690.499	3.81E-09										
8689.999	3.80E-09										
8689.499	3.81E-09										
8688.999	3.81E-09										
8688.499	3.81E-09										
8687.999	3.81E-09										
8687.499	3.81E-09										
8686.999	3.81E-09										
8686.499	3.80E-09										
8685.999	3.80E-09										
8685.499	3.81E-09										
8684.999	3.81E-09										
8684.499	3.81E-09										
8683.999	3.80E-09										
8683.499	3.80E-09										
8682.999	3.80E-09										
8682.499	3.81E-09										
8681.999	3.80E-09										
8681.499	3.80E-09										
8680.999	3.80E-09										
8680.499	3.80E-09										
8679.999	3.80E-09										
8679.499	3.80E-09										
8678.999	3.80E-09										
8678.499	3.80E-09										
8677.999	3.80E-09										
8677.499	3.80E-09										
8676.999	3.80E-09										
8676.499	3.80E-09										
8675.999	3.80E-09										
8675.499	3.80E-09										
8674.999	3.80E-09										
8674.499	3.80E-09										
8673.999	3.80E-09										
8673.499	3.80E-09										
8672.999	3.80E-09										
8672.499	3.80E-09										
8671.999	3.80E-09										
8671.499	3.80E-09										
8670.999	3.80E-09										
8670.499	3.80E-09										
8669.999	3.80E-09										
8669.499	3.80E-09										
8668.999	3.80E-09										
8668.499	3.80E-09										
8667.999	3.80E-09										
8667.499	3.80E-09										
8666.999	3.80E-09										
8666.499	3.80E-09										
8665.999	3.80E-09										
8665.499	3.80E-09										
8664.999	3.80E-09										
8664.499	3.80E-09										
8663.999	3.80E-09										
8663.499	3.80E-09										
8662.999	3.80E-09										
8662.499	3.79E-09										
8661.999	3.80E-09										
8661.499	3.79E-09										
8660.999	3.79E-09										
8660.499	3.79E-09										
8659.999	3.79E-09										
8659.499	3.79E-09										
8658.999	3.79E-09										
8658.499	3.79E-09										
8657.999	3.79E-09										
8657.499	3.79E-09										
8656.999	3.79E-09										
8656.499	3.79E-09										
8655.999	3.79E-09										
8655.499	3.79E-09										
8654.999	3.79E-09										
8654.499	3.79E-09										
8653.999	3.79E-09										
8653.499	3.79E-09										
8652.999	3.79E-09										
8652.499	3.79E-09										
8651.999	3.79E-09										
8651.499	3.79E-09										
8650.999	3.79E-09										
8650.499	3.79E-09										
8649.999	3.79E-09										
8649.499	3.79E-09										
8648.999	3.79E-09										
8648.499	3.79E-09										
8647.999	3.79E-09										
8647.499	3.79E-09										
8646.999	3.79E-09										
8646.499	3.79E-09										
8645.999	3.79E-09										
8645.499	3.79E-09										
8644.999	3.78E-09										
8644.499	3.78E-09										
8643.999	3.78E-09										
8643.499	3.78E-09										
8642.999	3.78E-09										
8642.499	3.78E-09										
8641.999	3.78E-09										
8641.499	3.78E-09										
8640.999	3.78E-09										
8640.499	3.78E-09										
8639.999	3.78E-09										
8639.499	3.78E-09										
8638.999	3.78E-09										
8638.499	3.78E-09										
8637.999	3.78E-09										
8637.499	3.78E-09										
8636.999	3.78E-09										
8636.499	3.78E-09										
8635.999	3.78E-09										
8635.499	3.78E-09										
8634.999	3.78E-09										
8634.499	3.78E-09										
8633.999	3.78E-09										
8633.499	3.78E-09										
8632.999	3.78E-09										
8632.499	3.78E-09										
8631.999	3.78E-09										
8631.499	3.78E-09										
8630.999	3.78E-09										
8630.499	3.78E-09										
8629.999	3.78E-09										
8629.499	3.78E-09										
8628.999	3.78E-09										
8628.499	3.78E-09										
8627.999	3.78E-09										
8627.499	3.78E-09										
8626.999	3.78E-09										
8626.499	3.77E-09										
8625.999	3.77E-09										
8625.499	3.78E-09										
8624.999	3.77E-09										
8624.499	3.77E-09										
8623.999	3.77E-09										
8623.499	3.77E-09										
8622.999	3.77E-09										
8622.499	3.77E-09										
8621.999	3.77E-09										
8621.499	3.77E-09										
8620.999	3.77E-09										
8620.499	3.77E-09										
8619.999	3.77E-09										
8619.499	3.77E-09										
8618.999	3.77E-09										
8618.499	3.77E-09										
8617.999	3.77E-09										
8617.499	3.77E-09										
8616.999	3.77E-09										
8616.499	3.77E-09										
8615.999	3.77E-09										
8615.499	3.77E-09										
8614.999	3.77E-09										
8614.499	3.77E-09										
8613.999	3.77E-09										
8613.499	3.77E-09										
8612.999	3.77E-09										
8612.499	3.77E-09										
8611.999	3.77E-09										
8611.499	3.77E-09										
8610.999	3.77E-09										
8610.499	3.77E-09										
8609.999	3.77E-09										
8609.499	3.77E-09										
8608.999	3.77E-09										
8608.499	3.76E-09										
8607.999	3.76E-09										
8607.499	3.77E-09										
8606.999	3.76E-09										
8606.499	3.77E-09										
8605.999	3.76E-09										
8605.499	3.76E-09										
8604.999	3.76E-09										
8604.499	3.76E-09										
8603.999	3.76E-09										
8603.499	3.76E-09										
8602.999	3.76E-09										
8602.499	3.76E-09										
8601.999	3.76E-09										
8601.499	3.76E-09										
8600.999	3.76E-09										
8600.499	3.76E-09										
8599.999	3.76E-09										
8599.499	3.76E-09										
8598.999	3.76E-09										
8598.499	3.76E-09										
8597.999	3.76E-09										
8597.499	3.76E-09										
8596.999	3.76E-09										
8596.499	3.76E-09										
8595.999	3.76E-09										
8595.499	3.76E-09										
8594.999	3.76E-09										
8594.499	3.76E-09										
8593.999	3.76E-09										
8593.499	3.75E-09										
8592.999	3.76E-09										
8592.499	3.76E-09										
8591.999	3.76E-09										
8591.499	3.76E-09										
8590.999	3.76E-09										
8590.499	3.76E-09										
8589.999	3.76E-09										
8589.499	3.75E-09										
8588.999	3.75E-09										
8588.499	3.76E-09										
8587.999	3.75E-09										
8587.499	3.75E-09										
8586.999	3.75E-09										
8586.499	3.75E-09										
8585.999	3.75E-09										
8585.499	3.75E-09										
8584.999	3.75E-09										
8584.499	3.75E-09										
8583.999	3.75E-09										
8583.499	3.75E-09										
8582.999	3.75E-09										
8582.499	3.75E-09										
8581.999	3.75E-09										
8581.499	3.75E-09										
8580.999	3.75E-09										
8580.499	3.75E-09										
8579.999	3.75E-09										
8579.499	3.75E-09										
8578.999	3.75E-09										
8578.499	3.75E-09										
8577.999	3.75E-09										
8577.499	3.75E-09										
8576.999	3.75E-09										
8576.499	3.75E-09										
8575.999	3.75E-09										
8575.499	3.75E-09										
8574.999	3.75E-09										
8574.499	3.75E-09										
8573.999	3.75E-09										
8573.499	3.75E-09										
8572.999	3.75E-09										
8572.499	3.75E-09										
8571.999	3.75E-09										
8571.499	3.75E-09										
8570.999	3.75E-09										
8570.499	3.75E-09										
8569.999	3.75E-09										
8569.499	3.75E-09										
8568.999	3.75E-09										
8568.499	3.74E-09										
8567.999	3.75E-09										
8567.499	3.75E-09										
8566.999	3.74E-09										
8566.499	3.75E-09										
8565.999	3.74E-09										
8565.499	3.75E-09										
8564.999	3.74E-09										
8564.499	3.74E-09										
8563.999	3.75E-09										
8563.499	3.74E-09										
8562.999	3.74E-09										
8562.499	3.74E-09										
8561.999	3.75E-09										
8561.499	3.74E-09										
8560.999	3.74E-09										
8560.499	3.74E-09										
8559.999	3.74E-09										
8559.499	3.74E-09										
8558.999	3.74E-09										
8558.499	3.74E-09										
8557.999	3.74E-09										
8557.499	3.74E-09										
8556.999	3.74E-09										
8556.499	3.74E-09										
8555.999	3.74E-09										
8555.499	3.74E-09										
8554.999	3.74E-09										
8554.499	3.74E-09										
8553.999	3.74E-09										
8553.499	3.74E-09										
8552.999	3.74E-09										
8552.499	3.74E-09										
8551.999	3.74E-09										
8551.499	3.74E-09										
8550.999	3.74E-09										
8550.499	3.74E-09										
8549.999	3.74E-09										
8549.499	3.74E-09										
8548.999	3.74E-09										
8548.499	3.74E-09										
8547.999	3.74E-09										
8547.499	3.74E-09										
8546.999	3.74E-09										
8546.499	3.74E-09										
8545.999	3.74E-09										
8545.499	3.74E-09										
8544.999	3.74E-09										
8544.499	3.74E-09										
8543.999	3.74E-09										
8543.499	3.74E-09										
8542.999	3.74E-09										
8542.499	3.74E-09										
8541.999	3.73E-09										
8541.499	3.74E-09										
8540.999	3.74E-09										
8540.499	3.74E-09										
8539.999	3.74E-09										
8539.499	3.73E-09										
8538.999	3.74E-09										
8538.499	3.73E-09										
8537.999	3.73E-09										
8537.499	3.73E-09										
8536.999	3.73E-09										
8536.499	3.73E-09										
8535.999	3.73E-09										
8535.499	3.73E-09										
8534.999	3.73E-09										
8534.499	3.73E-09										
8533.999	3.73E-09										
