L,I
0.01,0.0068
0.025,0.01694
0.05,0.03366
0.075,0.05016
0.1,0.06644
0.15,0.09834
0.2,0.12932
0.25,0.15936
0.3,0.18844
0.35,0.21655
0.4,0.24368
0.45,0.26983
0.5,0.29502
0.55,0.31925
0.6,0.34255
0.65,0.36493
0.7,0.38643
0.75,0.40707
0.8,0.42686
0.85,0.44585
0.9,0.46407
0.95,0.48153
1,0.49828
1.05,0.51434
1.1,0.52973
1.15,0.5445
1.2,0.55866
1.25,0.57223
1.3,0.58526
1.35,0.59776
1.4,0.60975
1.45,0.62126
1.5,0.63231
1.55,0.64293
1.6,0.65312
1.65,0.66291
1.7,0.67233
1.75,0.68138
1.8,0.69008
1.85,0.69846
1.9,0.70651
1.95,0.71427
2,0.72174
2.05,0.72893
2.1,0.73586
2.15,0.74254
2.2,0.74898
2.25,0.75519
2.3,0.76118
2.35,0.76697
2.4,0.77255
2.45,0.77794
2.5,0.78315
2.55,0.78818
2.6,0.79304
2.65,0.79775
2.7,0.80229
2.75,0.80669
2.8,0.81095
2.85,0.81508
2.9,0.81907
2.95,0.82293
3,0.82668
3.05,0.83031
3.1,0.83383
3.15,0.83724
3.2,0.84055
3.25,0.84376
3.3,0.84688
3.35,0.8499
3.4,0.85284
3.45,0.85569
3.5,0.85847
3.55,0.86116
3.6,0.86378
3.65,0.86632
3.7,0.8688
3.75,0.8712
3.8,0.87355
3.85,0.87582
3.9,0.87804
3.95,0.8802
4,0.8823
4.05,0.88435
4.1,0.88635
4.15,0.88829
4.2,0.89018
4.25,0.89203
4.3,0.89383
4.35,0.89559
4.4,0.8973
4.45,0.89897
4.5,0.9006
4.55,0.90219
4.6,0.90374
4.65,0.90526
4.7,0.90674
4.75,0.90819
4.8,0.9096
4.85,0.91098
4.9,0.91233
4.95,0.91364
5,0.91493
5.2,0.9198
5.4,0.92427
5.6,0.92836
5.8,0.93213
6,0.93561
6.2,0.93882
6.4,0.9418
6.6,0.94456
6.8,0.94712
7,0.94951
7.2,0.95174
7.4,0.95382
7.6,0.95577
7.8,0.9576
8,0.95931
8.2,0.96092
8.4,0.96243
8.6,0.96386
8.8,0.9652
9,0.96647
9.2,0.96767
9.4,0.9688
9.6,0.96988
9.8,0.9709
10,0.97186
10.5,0.97408
11,0.97603
11.5,0.97777
12,0.97932
12.5,0.98071
13,0.98196
13.5,0.98309
14,0.98411
14.5,0.98504
15,0.98589
15.5,0.98667
16,0.98738
16.5,0.98803
17,0.98864
17.5,0.98919
18,0.98971
18.5,0.99019
19,0.99063
19.5,0.99105
20,0.99143
20.5,0.99179
21,0.99213
21.5,0.99245
22,0.99274
22.5,0.99302
23,0.99328
23.5,0.99353
24,0.99377
24.5,0.99399
25,0.99419
25.5,0.99439
26,0.99458
26.5,0.99476
27,0.99492
27.5,0.99508
28,0.99524
28.5,0.99538
29,0.99552
29.5,0.99565
30,0.99578
31,0.99601
32,0.99622
33,0.99642
34,0.9966
35,0.99677
36,0.99692
37,0.99707
38,0.9972
39,0.99732
40,0.99744
45,0.99791
50,0.99825
