# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 4:04:15 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,295.999 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8395.999, 0.000, 4.02740478515625E-09
8395.499, -0.500, 4.0252685546875E-09
8394.999, -1.000, 4.02435302734375E-09
8394.499, -1.500, 4.024658203125E-09
8393.999, -2.000, 4.022216796875E-09
8393.499, -2.500, 4.02130126953125E-09
8392.999, -3.000, 4.02069091796875E-09
8392.499, -3.500, 4.02008056640625E-09
8391.999, -4.000, 4.0203857421875E-09
8391.499, -4.500, 4.01763916015625E-09
8390.999, -5.000, 4.0167236328125E-09
8390.499, -5.500, 4.01702880859375E-09
8389.999, -6.000, 4.01580810546875E-09
8389.499, -6.500, 4.014892578125E-09
8388.999, -7.000, 4.014892578125E-09
8388.499, -7.500, 4.01519775390625E-09
8387.999, -8.000, 4.0130615234375E-09
8387.499, -8.500, 4.01092529296875E-09
8386.999, -9.000, 4.01123046875E-09
8386.499, -9.500, 4.01123046875E-09
8385.999, -10.000, 4.010009765625E-09
8385.499, -10.500, 4.0087890625E-09
8384.999, -11.000, 4.00909423828125E-09
8384.499, -11.500, 4.0081787109375E-09
8383.999, -12.000, 4.0057373046875E-09
8383.499, -12.500, 4.00634765625E-09
8382.999, -13.000, 4.00604248046875E-09
8382.499, -13.500, 4.005126953125E-09
8381.999, -14.000, 4.00299072265625E-09
8381.499, -14.500, 4.0045166015625E-09
8380.999, -15.000, 4.002685546875E-09
8380.499, -15.500, 4.002685546875E-09
8379.999, -16.000, 4.0032958984375E-09
8379.499, -16.500, 4.000244140625E-09
8378.999, -17.000, 4.00054931640625E-09
8378.499, -17.500, 3.99993896484375E-09
8377.999, -18.000, 4.000244140625E-09
8377.499, -18.500, 3.9984130859375E-09
8376.999, -19.000, 3.99871826171875E-09
8376.499, -19.500, 3.99871826171875E-09
8375.999, -20.000, 3.99688720703125E-09
8375.499, -20.500, 3.99688720703125E-09
8374.999, -21.000, 3.99566650390625E-09
8374.499, -21.500, 3.99505615234375E-09
8373.999, -22.000, 3.99383544921875E-09
8373.499, -22.500, 3.9959716796875E-09
8372.999, -23.000, 3.99261474609375E-09
8372.499, -23.500, 3.99261474609375E-09
8371.999, -24.000, 3.99139404296875E-09
8371.499, -24.500, 3.99200439453125E-09
8370.999, -25.000, 3.99169921875E-09
8370.499, -25.500, 3.990478515625E-09
8369.999, -26.000, 3.99017333984375E-09
8369.499, -26.500, 3.98834228515625E-09
8368.999, -27.000, 3.98834228515625E-09
8368.499, -27.500, 3.9886474609375E-09
8367.999, -28.000, 3.9886474609375E-09
8367.499, -28.500, 3.9862060546875E-09
8366.999, -29.000, 3.98712158203125E-09
8366.499, -29.500, 3.98651123046875E-09
8365.999, -30.000, 3.9849853515625E-09
8365.499, -30.500, 3.9862060546875E-09
8364.999, -31.000, 3.985595703125E-09
8364.499, -31.500, 3.983154296875E-09
8363.999, -32.000, 3.98284912109375E-09
8363.499, -32.500, 3.98193359375E-09
8362.999, -33.000, 3.98162841796875E-09
8362.499, -33.500, 3.98193359375E-09
8361.999, -34.000, 3.983154296875E-09
8361.499, -34.500, 3.98223876953125E-09
8360.999, -35.000, 3.9813232421875E-09
8360.499, -35.500, 3.98040771484375E-09
8359.999, -36.000, 3.97918701171875E-09
8359.499, -36.500, 3.9801025390625E-09
8358.999, -37.000, 3.97857666015625E-09
8358.499, -37.500, 3.9794921875E-09
8357.999, -38.000, 3.9788818359375E-09
8357.499, -38.500, 3.97735595703125E-09
8356.999, -39.000, 3.9776611328125E-09
8356.499, -39.500, 3.97705078125E-09
8355.999, -40.000, 3.974609375E-09
8355.499, -40.500, 3.975830078125E-09
8354.999, -41.000, 3.97491455078125E-09
8354.499, -41.500, 3.9739990234375E-09
8353.999, -42.000, 3.9715576171875E-09
8353.499, -42.500, 3.97369384765625E-09
8352.999, -43.000, 3.973388671875E-09
8352.499, -43.500, 3.97369384765625E-09
8351.999, -44.000, 3.97247314453125E-09
8351.499, -44.500, 3.97308349609375E-09
8350.999, -45.000, 3.97125244140625E-09
8350.499, -45.500, 3.9697265625E-09
8349.999, -46.000, 3.97064208984375E-09
8349.499, -46.500, 3.970947265625E-09
8348.999, -47.000, 3.96942138671875E-09
8348.499, -47.500, 3.96881103515625E-09
8347.999, -48.000, 3.96820068359375E-09
8347.499, -48.500, 3.9666748046875E-09
8346.999, -49.000, 3.96697998046875E-09
8346.499, -49.500, 3.96728515625E-09
8345.999, -50.000, 3.9678955078125E-09
8345.499, -50.500, 3.96575927734375E-09
8344.999, -51.000, 3.96484375E-09
8344.499, -51.500, 3.96514892578125E-09
8343.999, -52.000, 3.9654541015625E-09
8343.499, -52.500, 3.9642333984375E-09
8342.999, -53.000, 3.9630126953125E-09
8342.499, -53.500, 3.96484375E-09
8341.999, -54.000, 3.96392822265625E-09
8341.499, -54.500, 3.9605712890625E-09
8340.999, -55.000, 3.96087646484375E-09
8340.499, -55.500, 3.961181640625E-09
8339.999, -56.000, 3.96148681640625E-09
8339.499, -56.500, 3.961181640625E-09
8338.999, -57.000, 3.961181640625E-09
8338.499, -57.500, 3.9593505859375E-09
8337.999, -58.000, 3.95904541015625E-09
8337.499, -58.500, 3.96026611328125E-09
8336.999, -59.000, 3.9581298828125E-09
8336.499, -59.500, 3.9599609375E-09
8335.999, -60.000, 3.9581298828125E-09
8335.499, -60.500, 3.95843505859375E-09
8334.999, -61.000, 3.95721435546875E-09
8334.499, -61.500, 3.95660400390625E-09
8333.999, -62.000, 3.9569091796875E-09
8333.499, -62.500, 3.9556884765625E-09
8332.999, -63.000, 3.956298828125E-09
8332.499, -63.500, 3.95477294921875E-09
8331.999, -64.000, 3.95416259765625E-09
8331.499, -64.500, 3.9544677734375E-09
8330.999, -65.000, 3.95599365234375E-09
8330.499, -65.500, 3.95477294921875E-09
8329.999, -66.000, 3.953857421875E-09
8329.499, -66.500, 3.953857421875E-09
8328.999, -67.000, 3.953857421875E-09
8328.499, -67.500, 3.95294189453125E-09
8327.999, -68.000, 3.9501953125E-09
8327.499, -68.500, 3.95050048828125E-09
8326.999, -69.000, 3.95111083984375E-09
8326.499, -69.500, 3.9483642578125E-09
8325.999, -70.000, 3.94927978515625E-09
8325.499, -70.500, 3.9501953125E-09
8324.999, -71.000, 3.94927978515625E-09
8324.499, -71.500, 3.94927978515625E-09
8323.999, -72.000, 3.94805908203125E-09
8323.499, -72.500, 3.9471435546875E-09
8322.999, -73.000, 3.94744873046875E-09
8322.499, -73.500, 3.9471435546875E-09
8321.999, -74.000, 3.9483642578125E-09
8321.499, -74.500, 3.94622802734375E-09
8320.999, -75.000, 3.94500732421875E-09
8320.499, -75.500, 3.94500732421875E-09
8319.999, -76.000, 3.9434814453125E-09
8319.499, -76.500, 3.94561767578125E-09
8318.999, -77.000, 3.94439697265625E-09
8318.499, -77.500, 3.9434814453125E-09
8317.999, -78.000, 3.9422607421875E-09
8317.499, -78.500, 3.9453125E-09
8316.999, -79.000, 3.94378662109375E-09
8316.499, -79.500, 3.9422607421875E-09
8315.999, -80.000, 3.9422607421875E-09
8315.499, -80.500, 3.9410400390625E-09
8314.999, -81.000, 3.9422607421875E-09
8314.499, -81.500, 3.9422607421875E-09
8313.999, -82.000, 3.94195556640625E-09
8313.499, -82.500, 3.939208984375E-09
8312.999, -83.000, 3.9404296875E-09
8312.499, -83.500, 3.9410400390625E-09
8311.999, -84.000, 3.93951416015625E-09
8311.499, -84.500, 3.939208984375E-09
8310.999, -85.000, 3.93951416015625E-09
8310.499, -85.500, 3.9385986328125E-09
8309.999, -86.000, 3.93768310546875E-09
8309.499, -86.500, 3.9385986328125E-09
8308.999, -87.000, 3.93646240234375E-09
8308.499, -87.500, 3.93646240234375E-09
8307.999, -88.000, 3.9349365234375E-09
8307.499, -88.500, 3.93463134765625E-09
8306.999, -89.000, 3.935546875E-09
8306.499, -89.500, 3.93463134765625E-09
8305.999, -90.000, 3.93463134765625E-09
8305.499, -90.500, 3.93310546875E-09
8304.999, -91.000, 3.93463134765625E-09
8304.499, -91.500, 3.93280029296875E-09
8303.999, -92.000, 3.93310546875E-09
8303.499, -92.500, 3.93218994140625E-09
8302.999, -93.000, 3.93280029296875E-09
8302.499, -93.500, 3.93218994140625E-09
8301.999, -94.000, 3.9300537109375E-09
8301.499, -94.500, 3.9312744140625E-09
8300.999, -95.000, 3.93157958984375E-09
8300.499, -95.500, 3.93035888671875E-09
8299.999, -96.000, 3.92913818359375E-09
8299.499, -96.500, 3.92852783203125E-09
8298.999, -97.000, 3.929443359375E-09
8298.499, -97.500, 3.92974853515625E-09
8297.999, -98.000, 3.92913818359375E-09
8297.499, -98.500, 3.92669677734375E-09
8296.999, -99.000, 3.927001953125E-09
8296.499, -99.500, 3.92791748046875E-09
8295.999, -100.000, 3.927001953125E-09
8295.499, -100.500, 3.92669677734375E-09
8294.999, -101.000, 3.92547607421875E-09
8294.499, -101.500, 3.92608642578125E-09
8293.999, -102.000, 3.9263916015625E-09
8293.499, -102.500, 3.92547607421875E-09
8292.999, -103.000, 3.92547607421875E-09
8292.499, -103.500, 3.924560546875E-09
8291.999, -104.000, 3.9239501953125E-09
8291.499, -104.500, 3.92425537109375E-09
8290.999, -105.000, 3.9227294921875E-09
8290.499, -105.500, 3.92181396484375E-09
8289.999, -106.000, 3.92303466796875E-09
8289.499, -106.500, 3.92333984375E-09
8288.999, -107.000, 3.9227294921875E-09
8288.499, -107.500, 3.92059326171875E-09
8287.999, -108.000, 3.9215087890625E-09
8287.499, -108.500, 3.9208984375E-09
8286.999, -109.000, 3.9208984375E-09
8286.499, -109.500, 3.91876220703125E-09
8285.999, -110.000, 3.91998291015625E-09
8285.499, -110.500, 3.9190673828125E-09
8284.999, -111.000, 3.91845703125E-09
8284.499, -111.500, 3.9178466796875E-09
8283.999, -112.000, 3.91754150390625E-09
8283.499, -112.500, 3.9166259765625E-09
8282.999, -113.000, 3.91754150390625E-09
8282.499, -113.500, 3.91510009765625E-09
8281.999, -114.000, 3.91693115234375E-09
8281.499, -114.500, 3.916015625E-09
8280.999, -115.000, 3.9154052734375E-09
8280.499, -115.500, 3.914794921875E-09
8279.999, -116.000, 3.91510009765625E-09
8279.499, -116.500, 3.91571044921875E-09
8278.999, -117.000, 3.91632080078125E-09
8278.499, -117.500, 3.914794921875E-09
8277.999, -118.000, 3.91387939453125E-09
8277.499, -118.500, 3.91326904296875E-09
8276.999, -119.000, 3.91204833984375E-09
8276.499, -119.500, 3.9129638671875E-09
8275.999, -120.000, 3.9117431640625E-09
8275.499, -120.500, 3.91204833984375E-09
8274.999, -121.000, 3.90960693359375E-09
8274.499, -121.500, 3.9105224609375E-09
8273.999, -122.000, 3.9105224609375E-09
8273.499, -122.500, 3.90960693359375E-09
8272.999, -123.000, 3.91082763671875E-09
8272.499, -123.500, 3.909912109375E-09
8271.999, -124.000, 3.90869140625E-09
8271.499, -124.500, 3.90869140625E-09
8270.999, -125.000, 3.90869140625E-09
8270.499, -125.500, 3.90777587890625E-09
8269.999, -126.000, 3.90777587890625E-09
8269.499, -126.500, 3.9068603515625E-09
