# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:32:24 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,887.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8987.499, 0.000, 3.9459228515625E-09
8986.999, -0.500, 3.94378662109375E-09
8986.499, -1.000, 3.9410400390625E-09
8985.999, -1.500, 3.93951416015625E-09
8985.499, -2.000, 3.936767578125E-09
8984.999, -2.500, 3.93463134765625E-09
8984.499, -3.000, 3.9337158203125E-09
8983.999, -3.500, 3.93157958984375E-09
8983.499, -4.000, 3.92974853515625E-09
8982.999, -4.500, 3.9263916015625E-09
8982.499, -5.000, 3.92547607421875E-09
8981.999, -5.500, 3.9251708984375E-09
8981.499, -6.000, 3.9215087890625E-09
8980.999, -6.500, 3.917236328125E-09
8980.499, -7.000, 3.91632080078125E-09
8979.999, -7.500, 3.91632080078125E-09
8979.499, -8.000, 3.91571044921875E-09
8978.999, -8.500, 3.91448974609375E-09
8978.499, -9.000, 3.91357421875E-09
8977.999, -9.500, 3.91326904296875E-09
8977.499, -10.000, 3.91082763671875E-09
8976.999, -10.500, 3.90838623046875E-09
8976.499, -11.000, 3.90869140625E-09
8975.999, -11.500, 3.90716552734375E-09
8975.499, -12.000, 3.90655517578125E-09
8974.999, -12.500, 3.9056396484375E-09
8974.499, -13.000, 3.90472412109375E-09
8973.999, -13.500, 3.90411376953125E-09
8973.499, -14.000, 3.9031982421875E-09
8972.999, -14.500, 3.90380859375E-09
8972.499, -15.000, 3.902587890625E-09
8971.999, -15.500, 3.902587890625E-09
