May 26, 2026   15:32:25
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_au _2.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

-49.100, -2.417e-9
-48.100, -2.401e-9
-47.100, -2.392e-9
-46.100, -2.383e-9
-45.100, -2.374e-9
-44.100, -2.364e-9
-43.100, -2.356e-9
-42.100, -2.347e-9
-41.100, -2.338e-9
-40.100, -2.331e-9
-39.100, -2.322e-9
-38.100, -2.316e-9
-37.100, -2.308e-9
-36.100, -2.302e-9
-35.100, -2.296e-9
-34.100, -2.288e-9
-33.100, -2.284e-9
-32.100, -2.277e-9
-31.100, -2.271e-9
-30.100, -2.266e-9
-29.100, -2.259e-9
-28.100, -2.255e-9
-27.100, -2.249e-9
-26.100, -2.244e-9
-25.100, -2.240e-9
-24.100, -2.234e-9
-23.100, -2.230e-9
-22.100, -2.226e-9
-21.100, -2.221e-9
-20.100, -2.218e-9
-19.100, -2.213e-9
-18.100, -2.209e-9
-17.100, -2.205e-9
-16.100, -2.201e-9
-15.100, -2.198e-9
-14.100, -2.193e-9
-13.100, -2.190e-9
-12.100, -2.187e-9
-11.100, -2.182e-9
-10.100, -2.180e-9
-9.100, -2.175e-9
-8.100, -2.173e-9
-7.100, -2.170e-9
-6.100, -2.166e-9
-5.100, -2.164e-9
-4.100, -2.160e-9
-3.100, -2.157e-9
-2.100, -2.155e-9
-1.100, -2.151e-9
-0.100, -2.150e-9
0.900, -2.146e-9
1.900, -2.144e-9
2.900, -2.143e-9
3.900, -2.138e-9
4.900, -2.136e-9
5.900, -2.134e-9
6.900, -2.130e-9
7.900, -2.129e-9
8.900, -2.126e-9
9.900, -2.124e-9
10.900, -2.122e-9
11.900, -2.119e-9
12.900, -2.117e-9
13.900, -2.114e-9
14.900, -2.112e-9
15.900, -2.110e-9
16.900, -2.107e-9
17.900, -2.107e-9
18.900, -2.104e-9
19.900, -2.102e-9
20.900, -2.101e-9
21.900, -2.097e-9
22.900, -2.096e-9
23.900, -2.094e-9
24.900, -2.092e-9
25.900, -2.091e-9
26.900, -2.088e-9
27.900, -2.088e-9
28.900, -2.086e-9
29.900, -2.083e-9
30.900, -2.083e-9
31.900, -2.080e-9
32.900, -2.079e-9
33.900, -2.077e-9
34.900, -2.074e-9
35.900, -2.074e-9
36.900, -2.071e-9
37.900, -2.070e-9
38.900, -2.069e-9
39.900, -2.067e-9
40.900, -2.066e-9
41.900, -2.064e-9
42.900, -2.063e-9
43.900, -2.062e-9
44.900, -2.060e-9
45.900, -2.059e-9
46.900, -2.058e-9
47.900, -2.056e-9
48.900, -2.056e-9
49.900, -2.053e-9
50.900, -2.053e-9
51.900, -2.050e-9
52.900, -2.049e-9
53.900, -2.049e-9
54.900, -2.047e-9
55.900, -2.045e-9
56.900, -2.045e-9
57.900, -2.042e-9
58.900, -2.042e-9
59.900, -2.041e-9
60.900, -2.039e-9
61.900, -2.039e-9
62.900, -2.037e-9
63.900, -2.036e-9
64.900, -2.035e-9
65.900, -2.033e-9
66.900, -2.034e-9
67.900, -2.032e-9
68.900, -2.031e-9
69.900, -2.030e-9
70.900, -2.029e-9
71.900, -2.029e-9
72.900, -2.026e-9
73.900, -2.025e-9
74.900, -2.024e-9
75.900, -2.022e-9
76.900, -2.022e-9
77.900, -2.020e-9
78.900, -2.019e-9
79.900, -2.019e-9
80.900, -2.017e-9
81.900, -2.017e-9
82.900, -2.016e-9
83.900, -2.015e-9
84.900, -2.015e-9
85.900, -2.013e-9
86.900, -2.012e-9
87.900, -2.012e-9
88.900, -2.010e-9
89.900, -2.010e-9
90.900, -2.009e-9
91.900, -2.008e-9
92.900, -2.007e-9
93.900, -2.006e-9
94.900, -2.006e-9
95.900, -2.005e-9
96.900, -2.004e-9
97.900, -2.004e-9
98.900, -2.002e-9
99.900, -2.002e-9
100.900, -2.000e-9
101.900, -2.000e-9
102.900, -2.000e-9
103.900, -1.998e-9
104.900, -1.997e-9
105.900, -1.997e-9
106.900, -1.995e-9
107.900, -1.995e-9
108.900, -1.994e-9
109.900, -1.993e-9
110.900, -1.993e-9
111.900, -1.991e-9
112.900, -1.991e-9
113.900, -1.991e-9
114.900, -1.989e-9
115.900, -1.989e-9
116.900, -1.988e-9
117.900, -1.987e-9
118.900, -1.988e-9
119.900, -1.986e-9
120.900, -1.986e-9
121.900, -1.985e-9
122.900, -1.983e-9
123.900, -1.983e-9
124.900, -1.982e-9
125.900, -1.982e-9
126.900, -1.981e-9
127.900, -1.980e-9
128.900, -1.980e-9
129.900, -1.978e-9
130.900, -1.978e-9
131.900, -1.978e-9
132.900, -1.976e-9
133.900, -1.976e-9
134.900, -1.975e-9
135.900, -1.974e-9
136.900, -1.974e-9
137.900, -1.973e-9
138.900, -1.973e-9
139.900, -1.971e-9
140.900, -1.971e-9
141.900, -1.971e-9
142.900, -1.969e-9
143.900, -1.969e-9
144.900, -1.968e-9
145.900, -1.968e-9
146.900, -1.968e-9
147.900, -1.967e-9
148.900, -1.967e-9
149.900, -1.965e-9
150.900, -1.965e-9
151.900, -1.964e-9
152.900, -1.963e-9
153.900, -1.964e-9
154.900, -1.963e-9
155.900, -1.962e-9
156.900, -1.962e-9
157.900, -1.960e-9
158.900, -1.960e-9
159.900, -1.960e-9
160.900, -1.959e-9
161.900, -1.959e-9
162.900, -1.958e-9
163.900, -1.958e-9
164.900, -1.958e-9
165.900, -1.956e-9
166.900, -1.956e-9
167.900, -1.955e-9
168.900, -1.955e-9
169.900, -1.955e-9
170.900, -1.953e-9
171.900, -1.954e-9
172.900, -1.953e-9
173.900, -1.952e-9
174.900, -1.952e-9
175.900, -1.951e-9
176.900, -1.951e-9
177.900, -1.950e-9
178.900, -1.949e-9
179.900, -1.949e-9
180.900, -1.948e-9
181.900, -1.949e-9
182.900, -1.947e-9
183.900, -1.946e-9
184.900, -1.947e-9
185.900, -1.946e-9
186.900, -1.946e-9
187.900, -1.945e-9
188.900, -1.944e-9
189.900, -1.944e-9
190.900, -1.943e-9
191.900, -1.943e-9
192.900, -1.943e-9
193.900, -1.942e-9
194.900, -1.943e-9
195.900, -1.941e-9
196.900, -1.942e-9
197.900, -1.941e-9
198.900, -1.939e-9
199.900, -1.940e-9
200.900, -1.938e-9
201.900, -1.938e-9
202.900, -1.938e-9
203.900, -1.938e-9
204.900, -1.936e-9
205.900, -1.937e-9
206.900, -1.936e-9
207.900, -1.936e-9
208.900, -1.936e-9
209.900, -1.934e-9
210.900, -1.935e-9
211.900, -1.934e-9
212.900, -1.934e-9
213.900, -1.934e-9
214.900, -1.933e-9
215.900, -1.934e-9
216.900, -1.933e-9
217.900, -1.932e-9
218.900, -1.933e-9
219.900, -1.932e-9
220.900, -1.932e-9
221.900, -1.931e-9
222.900, -1.930e-9
223.900, -1.931e-9
224.900, -1.930e-9
225.900, -1.930e-9
226.900, -1.930e-9
227.900, -1.928e-9
228.900, -1.929e-9
229.900, -1.928e-9
230.900, -1.928e-9
231.900, -1.927e-9
232.900, -1.926e-9
233.900, -1.927e-9
234.900, -1.926e-9
235.900, -1.927e-9
236.900, -1.927e-9
237.900, -1.926e-9
238.900, -1.926e-9
239.900, -1.925e-9
240.900, -1.925e-9
241.900, -1.925e-9
242.900, -1.924e-9
243.900, -1.924e-9
244.900, -1.922e-9
245.900, -1.921e-9
246.900, -1.917e-9
247.900, -1.917e-9
248.900, -1.919e-9
249.900, -1.919e-9
250.900, -1.920e-9
251.900, -1.921e-9
252.900, -1.920e-9
253.900, -1.921e-9
254.900, -1.920e-9
255.900, -1.919e-9
256.900, -1.920e-9
257.900, -1.919e-9
258.900, -1.920e-9
259.900, -1.920e-9
260.900, -1.919e-9
261.900, -1.920e-9
262.900, -1.918e-9
263.900, -1.918e-9
264.900, -1.917e-9
265.900, -1.916e-9
266.900, -1.917e-9
267.900, -1.916e-9
268.900, -1.916e-9
269.900, -1.916e-9
