May 26, 2026   14:20:30
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_glass_4.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.4
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 5
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

-49.100, -2.013e-9
-48.100, -2.004e-9
-47.100, -1.997e-9
-46.100, -1.992e-9
-45.100, -1.985e-9
-44.100, -1.980e-9
-43.100, -1.974e-9
-42.100, -1.969e-9
-41.100, -1.965e-9
-40.100, -1.959e-9
-39.100, -1.955e-9
-38.100, -1.950e-9
-37.100, -1.945e-9
-36.100, -1.941e-9
-35.100, -1.936e-9
-34.100, -1.933e-9
-33.100, -1.929e-9
-32.100, -1.925e-9
-31.100, -1.922e-9
-30.100, -1.918e-9
-29.100, -1.915e-9
-28.100, -1.912e-9
-27.100, -1.908e-9
-26.100, -1.906e-9
-25.100, -1.902e-9
-24.100, -1.899e-9
-23.100, -1.896e-9
-22.100, -1.893e-9
-21.100, -1.891e-9
-20.100, -1.888e-9
-19.100, -1.884e-9
-18.100, -1.882e-9
-17.100, -1.879e-9
-16.100, -1.878e-9
-15.100, -1.875e-9
-14.100, -1.872e-9
-13.100, -1.870e-9
-12.100, -1.867e-9
-11.100, -1.866e-9
-10.100, -1.864e-9
-9.100, -1.861e-9
-8.100, -1.860e-9
-7.100, -1.858e-9
-6.100, -1.856e-9
-5.100, -1.854e-9
-4.100, -1.852e-9
-3.100, -1.851e-9
-2.100, -1.849e-9
-1.100, -1.847e-9
-0.100, -1.846e-9
0.900, -1.844e-9
1.900, -1.843e-9
2.900, -1.840e-9
3.900, -1.839e-9
4.900, -1.838e-9
5.900, -1.835e-9
6.900, -1.835e-9
7.900, -1.833e-9
8.900, -1.832e-9
9.900, -1.831e-9
10.900, -1.829e-9
11.900, -1.828e-9
12.900, -1.826e-9
13.900, -1.825e-9
14.900, -1.824e-9
15.900, -1.822e-9
16.900, -1.821e-9
17.900, -1.820e-9
18.900, -1.818e-9
19.900, -1.818e-9
20.900, -1.816e-9
21.900, -1.815e-9
22.900, -1.814e-9
23.900, -1.812e-9
24.900, -1.812e-9
25.900, -1.811e-9
26.900, -1.809e-9
27.900, -1.809e-9
28.900, -1.807e-9
29.900, -1.807e-9
30.900, -1.805e-9
31.900, -1.804e-9
32.900, -1.804e-9
33.900, -1.802e-9
34.900, -1.801e-9
35.900, -1.801e-9
36.900, -1.799e-9
37.900, -1.798e-9
38.900, -1.798e-9
39.900, -1.796e-9
40.900, -1.795e-9
41.900, -1.794e-9
42.900, -1.793e-9
43.900, -1.792e-9
44.900, -1.791e-9
45.900, -1.790e-9
46.900, -1.789e-9
47.900, -1.788e-9
48.900, -1.788e-9
49.900, -1.786e-9
50.900, -1.786e-9
51.900, -1.785e-9
52.900, -1.784e-9
53.900, -1.783e-9
54.900, -1.782e-9
55.900, -1.781e-9
56.900, -1.781e-9
57.900, -1.780e-9
58.900, -1.780e-9
59.900, -1.779e-9
60.900, -1.778e-9
61.900, -1.778e-9
62.900, -1.777e-9
63.900, -1.776e-9
64.900, -1.776e-9
65.900, -1.775e-9
66.900, -1.775e-9
67.900, -1.774e-9
68.900, -1.773e-9
69.900, -1.773e-9
70.900, -1.771e-9
71.900, -1.771e-9
72.900, -1.770e-9
73.900, -1.770e-9
74.900, -1.770e-9
75.900, -1.769e-9
76.900, -1.768e-9
77.900, -1.768e-9
78.900, -1.767e-9
79.900, -1.767e-9
80.900, -1.767e-9
