8492.999	4.43E-09								
8492.499	4.42E-09									
8491.999	4.42E-09									
8491.499	4.42E-09									
8490.999	4.42E-09									
8490.499	4.42E-09									
8489.999	4.42E-09									
8489.499	4.42E-09									
8488.999	4.42E-09									
8488.499	4.42E-09									
8487.999	4.42E-09									
8487.499	4.42E-09									
8486.999	4.42E-09									
8486.499	4.42E-09									
8485.999	4.42E-09									
8485.499	4.42E-09									
8484.999	4.42E-09									
8484.499	4.41E-09									
8483.999	4.41E-09									
8483.499	4.41E-09									
8482.999	4.41E-09									
8482.499	4.41E-09									
8481.999	4.41E-09									
8481.499	4.41E-09									
8480.999	4.41E-09									
8480.499	4.41E-09									
8479.999	4.41E-09									
8479.499	4.41E-09									
8478.999	4.41E-09									
8478.499	4.41E-09									
8477.999	4.41E-09									
8477.499	4.41E-09									
8476.999	4.41E-09									
8476.499	4.41E-09									
8475.999	4.41E-09									
8475.499	4.41E-09									
8474.999	4.41E-09									
8474.499	4.41E-09									
8473.999	4.41E-09									
8473.499	4.41E-09									
8472.999	4.41E-09									
8472.499	4.40E-09									
8471.999	4.41E-09									
8471.499	4.41E-09									
8470.999	4.40E-09									
8470.499	4.40E-09									
8469.999	4.40E-09									
8469.499	4.40E-09									
8468.999	4.40E-09									
8468.499	4.40E-09									
8467.999	4.40E-09									
8467.499	4.40E-09									
8466.999	4.40E-09									
8466.499	4.40E-09									
8465.999	4.40E-09									
8465.499	4.40E-09									
8464.999	4.40E-09									
8464.499	4.40E-09									
8463.999	4.40E-09									
8463.499	4.40E-09									
8462.999	4.40E-09									
8462.499	4.40E-09									
8461.999	4.40E-09									
8461.499	4.40E-09									
8460.999	4.40E-09									
8460.499	4.40E-09									
8459.999	4.40E-09									
8459.499	4.40E-09									
8458.999	4.40E-09									
8458.499	4.40E-09									
8457.999	4.40E-09									
8457.499	4.40E-09									
8456.999	4.40E-09									
8456.499	4.40E-09									
8455.999	4.40E-09									
8455.499	4.40E-09									
8454.999	4.40E-09									
8454.499	4.40E-09									
8453.999	4.40E-09									
8453.499	4.40E-09									
8452.999	4.40E-09									
8452.499	4.40E-09									
8451.999	4.40E-09									
